

                                                                                                                                                                                                                                 President of the United States
                                                            Donald J. Trump (I) (Rep)                                                                                                                             Joseph R. Biden (Dem)                                                                                                                                 Jo Jorgensen (Lib)                                                                                                                                    
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Ben Hill                      6                             5                             16                            0                             27                            11                            6                             12                            0                             29                            187                           190                           1503                          0                             1880                          7                             5                             6                             0                             18                            24                            15                            56                            0                             95                            7                             3                             13                            1                             24                            14                            3                             59                            0                             76                            83                            109                           244                           0                             436                           23                            26                            72                            0                             121                           16                            5                             50                            0                             71                            35                            45                            91                            0                             171                           21                            39                            86                            0                             146                           164                           295                           1321                          0                             1780                          9                             8                             34                            0                             51                            6                             4                             13                            0                             23                            2                             3                             6                             0                             11                            1                             8                             9                             0                             18                            13                            9                             84                            0                             106                           143                           425                           740                           0                             1308                          6                             10                            37                            0                             53                            6444                          
Berrien                       12                            4                             11                            0                             27                            7                             8                             9                             0                             24                            681                           308                           1488                          4                             2481                          7                             8                             6                             0                             21                            48                            19                            74                            0                             141                           10                            1                             15                            0                             26                            16                            10                            31                            0                             57                            52                            48                            108                           0                             208                           16                            16                            22                            0                             54                            32                            7                             63                            1                             103                           13                            13                            36                            0                             62                            28                            36                            38                            0                             102                           936                           404                           1975                          3                             3318                          13                            2                             14                            0                             29                            10                            4                             12                            0                             26                            4                             5                             2                             0                             11                            2                             4                             7                             0                             13                            57                            4                             78                            0                             139                           187                           183                           331                           0                             701                           6                             7                             9                             0                             22                            7565                          
Bibb                          52                            87                            43                            0                             182                           59                            77                            70                            0                             206                           2741                          2117                          5312                          23                            10193                         52                            44                            60                            2                             158                           174                           79                            164                           3                             420                           64                            31                            56                            1                             152                           159                           77                            195                           3                             434                           1290                          1308                          2278                          25                            4901                          518                           454                           970                           10                            1952                          148                           93                            174                           1                             416                           350                           377                           678                           8                             1413                          419                           455                           706                           2                             1582                          4374                          3130                          7066                          14                            14584                         209                           101                           309                           3                             622                           142                           61                            142                           0                             345                           45                            36                            46                            0                             127                           61                            151                           115                           2                             329                           114                           28                            140                           2                             284                           5578                          10487                         14770                         61                            30896                         233                           174                           330                           5                             742                           69938                         
Bleckley                      3                             4                             8                             0                             15                            6                             3                             11                            0                             20                            362                           284                           1280                          1                             1927                          3                             4                             1                             0                             8                             24                            12                            34                            0                             70                            5                             3                             5                             0                             13                            9                             2                             23                            0                             34                            49                            42                            89                            0                             180                           17                            15                            27                            0                             59                            16                            5                             26                            0                             47                            6                             8                             15                            0                             29                            18                            19                            33                            0                             70                            494                           302                           1336                          1                             2133                          5                             1                             9                             0                             15                            11                            2                             16                            0                             29                            3                             0                             3                             0                             6                             1                             5                             4                             0                             10                            11                            2                             33                            0                             46                            190                           294                           392                           0                             876                           4                             10                            12                            0                             26                            5613                          
Brantley                      11                            6                             17                            0                             34                            18                            10                            20                            1                             49                            823                           316                           1986                          3                             3128                          10                            4                             7                             0                             21                            103                           28                            158                           0                             289                           13                            3                             9                             0                             25                            60                            22                            106                           0                             188                           40                            36                            87                            0                             163                           10                            11                            16                            0                             37                            82                            16                            129                           0                             227                           10                            7                             19                            0                             36                            32                            32                            67                            0                             131                           638                           256                           1513                          3                             2410                          6                             3                             10                            0                             19                            17                            2                             28                            0                             47                            7                             4                             3                             0                             14                            2                             7                             8                             0                             17                            109                           16                            179                           0                             304                           48                            77                            110                           1                             236                           1                             6                             6                             0                             13                            7388                          
Brooks                        10                            10                            7                             0                             27                            11                            7                             10                            0                             28                            546                           214                           986                           4                             1750                          7                             4                             7                             0                             18                            56                            15                            82                            0                             153                           9                             4                             7                             0                             20                            31                            12                            42                            0                             85                            165                           210                           309                           0                             684                           43                            59                            90                            2                             194                           23                            6                             42                            0                             71                            54                            51                            105                           1                             211                           55                            91                            113                           0                             259                           661                           261                           1029                          2                             1953                          15                            22                            39                            0                             76                            13                            2                             16                            0                             31                            2                             2                             9                             0                             13                            19                            37                            35                            1                             92                            37                            10                            57                            0                             104                           127                           520                           377                           0                             1024                          8                             23                            11                            0                             42                            6835                          
Bryan                         22                            18                            51                            0                             91                            30                            16                            59                            0                             105                           804                           597                           3372                          2                             4775                          17                            24                            27                            0                             68                            81                            39                            218                           0                             338                           19                            9                             36                            0                             64                            67                            30                            202                           0                             299                           158                           263                           549                           2                             972                           32                            73                            163                           0                             268                           93                            11                            186                           1                             291                           65                            88                            224                           0                             377                           81                            124                           323                           0                             528                           1334                          909                           5706                          1                             7950                          31                            20                            78                            0                             129                           67                            42                            124                           0                             233                           14                            15                            31                            0                             60                            4                             24                            29                            0                             57                            64                            25                            179                           0                             268                           442                           1303                          2195                          1                             3941                          8                             29                            33                            0                             70                            20884                         
Bulloch                       35                            18                            37                            1                             91                            68                            46                            65                            1                             180                           2667                          1250                          3931                          6                             7854                          37                            33                            39                            0                             109                           162                           40                            167                           0                             369                           36                            12                            39                            0                             87                            150                           24                            131                           2                             307                           418                           432                           901                           5                             1756                          146                           126                           254                           3                             529                           160                           24                            123                           2                             309                           169                           129                           265                           3                             566                           165                           172                           319                           0                             656                           3158                          1449                          4327                          10                            8944                          69                            27                            127                           0                             223                           111                           43                            92                            1                             247                           25                            18                            29                            0                             72                            13                            46                            42                            1                             102                           157                           43                            162                           1                             363                           1309                          2303                          3038                          15                            6665                          34                            44                            50                            1                             129                           29558                         
Burke                         6                             5                             7                             0                             18                            13                            10                            10                            0                             33                            634                           223                           1059                          0                             1916                          6                             12                            1                             0                             19                            41                            15                            35                            0                             91                            7                             2                             5                             0                             14                            32                            10                            29                            0                             71                            283                           196                           303                           0                             782                           74                            77                            74                            0                             225                           54                            2                             44                            0                             100                           60                            41                            72                            0                             173                           86                            40                            95                            0                             221                           1081                          397                           1540                          0                             3018                          41                            10                            44                            0                             95                            21                            6                             21                            0                             48                            3                             3                             11                            0                             17                            50                            211                           83                            0                             344                           32                            5                             31                            0                             68                            848                           1176                          1134                          0                             3158                          20                            11                            23                            0                             54                            10465                         
Butts                         6                             6                             11                            0                             23                            6                             13                            17                            0                             36                            300                           454                           2436                          1                             3191                          4                             7                             15                            0                             26                            26                            15                            86                            0                             127                           6                             3                             17                            0                             26                            26                            9                             75                            0                             110                           66                            87                            284                           0                             437                           26                            27                            82                            0                             135                           26                            11                            87                            0                             124                           15                            33                            107                           1                             156                           34                            51                            101                           0                             186                           396                           630                           3513                          1                             4540                          11                            8                             35                            0                             54                            12                            7                             41                            0                             60                            2                             7                             14                            0                             23                            1                             4                             13                            0                             18                            10                            6                             78                            0                             94                            216                           699                           1292                          0                             2207                          4                             10                            20                            0                             34                            11607                         
Calhoun                       2                             6                             1                             0                             9                             4                             1                             2                             0                             7                             106                           44                            209                           0                             359                           3                             0                             3                             0                             6                             7                             4                             10                            0                             21                            6                             0                             0                             0                             6                             4                             3                             0                             0                             7                             60                            54                            65                            0                             179                           13                            13                            16                            0                             42                            5                             1                             3                             0                             9                             15                            19                            21                            0                             55                            16                            14                            27                            0                             57                            149                           99                            262                           0                             510                           12                            7                             9                             0                             28                            3                             0                             1                             0                             4                             2                             0                             1                             0                             3                             1                             2                             2                             0                             5                             3                             0                             3                             0                             6                             220                           291                           308                           0                             819                           8                             9                             7                             0                             24                            2156                          
Camden                        43                            26                            56                            0                             125                           55                            35                            79                            0                             169                           1311                          847                           3754                          1                             5913                          34                            28                            35                            0                             97                            230                           109                           530                           0                             869                           37                            13                            66                            0                             116                           153                           54                            295                           1                             503                           252                           589                           939                           1                             1781                          110                           144                           269                           0                             523                           117                           50                            245                           0                             412                           121                           141                           287                           1                             550                           143                           266                           466                           0                             875                           1436                          1057                          4137                          1                             6631                          65                            58                            173                           0                             296                           121                           50                            162                           0                             333                           28                            23                            53                            0                             104                           21                            46                            42                            0                             109                           109                           40                            271                           0                             420                           343                           1194                          1429                          1                             2967                          19                            42                            63                            0                             124                           22917                         
Candler                       6                             3                             2                             0                             11                            7                             2                             7                             0                             16                            608                           131                           512                           0                             1251                          3                             3                             3                             0                             9                             40                            5                             25                            0                             70                            3                             4                             7                             0                             14                            20                            3                             15                            0                             38                            92                            47                            58                            0                             197                           27                            15                            14                            1                             57                            38                            3                             15                            0                             56                            24                            8                             17                            0                             49                            31                            26                            30                            0                             87                            788                           224                           544                           0                             1556                          13                            4                             9                             0                             26                            18                            2                             2                             0                             22                            2                             0                             1                             0                             3                             5                             3                             4                             0                             12                            35                            4                             21                            0                             60                            317                           249                           212                           0                             778                           6                             2                             3                             0                             11                            4323                          
Carroll                       48                            28                            56                            2                             134                           58                            46                            78                            0                             182                           4048                          1737                          8423                          13                            14221                         51                            30                            71                            0                             152                           245                           83                            319                           2                             649                           55                            19                            89                            1                             164                           193                           52                            309                           1                             555                           462                           517                           1119                          3                             2101                          137                           145                           378                           0                             660                           190                           30                            261                           1                             482                           176                           145                           430                           1                             752                           233                           227                           562                           0                             1022                          5811                          2739                          11611                         6                             20167                         86                            36                            197                           0                             319                           185                           49                            206                           0                             440                           37                            22                            57                            0                             116                           19                            30                            45                            2                             96                            199                           34                            332                           2                             567                           1835                          3220                          5624                          9                             10688                         66                            53                            101                           0                             220                           53687                         
Catoosa                       30                            33                            41                            0                             104                           34                            38                            51                            0                             123                           1570                          939                           5724                          5                             8238                          33                            26                            59                            0                             118                           212                           97                            522                           0                             831                           56                            36                            120                           1                             213                           183                           59                            490                           3                             735                           216                           367                           824                           1                             1408                          57                            75                            204                           0                             336                           151                           54                            363                           2                             570                           68                            84                            202                           0                             354                           165                           308                           662                           3                             1138                          2621                          1765                          9187                          4                             13577                         56                            21                            133                           0                             210                           139                           30                            183                           2                             354                           26                            11                            49                            0                             86                            19                            63                            88                            0                             170                           164                           40                            393                           2                             599                           292                           848                           1274                          1                             2415                          23                            48                            64                            0                             135                           31714                         
