index,County,Precinct,Registered Voters,Berryl A. Anderson (I) (Dem)_Election Day Votes,Berryl A. Anderson (I) (Dem)_Advanced Voting Votes,Berryl A. Anderson (I) (Dem)_Absentee by Mail Votes,Berryl A. Anderson (I) (Dem)_Provisional Votes,Berryl A. Anderson (I) (Dem)_Choice Total,Total,
26,DeKalb,Chapel Hill Elem,3349,261,1213,691,7,2172,2172,
27,DeKalb,Chesnut Elem,2363,220,810,374,2,1406,1406,
28,DeKalb,Clairemont West,3264,137,1195,1051,4,2387,2387,
29,DeKalb,Clairmont Road,3223,189,899,912,6,2006,2006,
30,DeKalb,Clarkston,3878,384,967,420,13,1784,1784,
31,DeKalb,Clifton,1731,126,530,322,5,983,983,
32,DeKalb,Columbia Middle,2178,153,605,339,6,1103,1103,
33,DeKalb,Coan Recreation Center,4230,205,1599,896,4,2704,2704,
34,DeKalb,Cross Keys High,2260,161,618,497,4,1280,1280,
35,DeKalb,Crossroads,2898,247,884,629,8,1768,1768,
36,DeKalb,Candler,3537,246,1017,587,13,1863,1863,
37,DeKalb,Cedar Grove Middle,1896,135,505,266,5,911,911,
38,DeKalb,Cedar Grove South,3962,268,1582,744,6,2600,2600,
39,DeKalb,Covington Hwy,995,53,101,59,6,219,219,
40,DeKalb,Covington,2376,137,702,369,5,1213,1213,
41,DeKalb,Clairemont East,3226,112,1134,1130,3,2379,2379,
42,DeKalb,Coralwood,3153,153,1048,931,3,2135,2135,
43,DeKalb,Candler Park,4018,120,1728,1223,2,3073,3073,
44,DeKalb,Clarkston Community Center,2495,223,609,379,10,1221,1221,
45,DeKalb,Chamblee 2,3137,163,1172,618,0,1953,1953,
46,DeKalb,Doraville North,3065,313,776,450,6,1545,1545,
47,DeKalb,Doraville South,1255,125,330,210,2,667,667,
48,DeKalb,Dresden Elem,5141,393,1404,936,6,2739,2739,
49,DeKalb,Decatur,1937,86,891,475,1,1453,1453,
50,DeKalb,Dunaire Elem,2268,189,635,429,7,1260,1260,
51,DeKalb,Dunwoody,3003,170,973,566,7,1716,1716,
52,DeKalb,Dunwoody 2,2044,103,683,378,3,1167,1167,
53,DeKalb,Druid Hills High,2725,135,662,636,2,1435,1435,
54,DeKalb,Dunwoody Library,2570,89,906,481,2,1478,1478,
55,DeKalb,East Lake,4139,233,1565,913,7,2718,2718,
56,DeKalb,Embry Hills,1721,107,516,421,0,1044,1044,
57,DeKalb,Evansdale Elem,3441,255,1059,719,4,2037,2037,
58,DeKalb,Emory South,3241,192,1046,889,6,2133,2133,
59,DeKalb,Emory Road,2290,126,645,432,7,1210,1210,
60,DeKalb,Fairington Elem,5455,445,1588,651,20,2704,2704,
61,DeKalb,Fernbank Elem,2125,122,696,693,1,1512,1512,
62,DeKalb,Flat Shoals Elem,2409,201,640,413,9,1263,1263,
63,DeKalb,Flat Shoals Parkway,3449,201,1308,735,5,2249,2249,
64,DeKalb,Flat Rock Elem,3142,257,1341,536,5,2139,2139,
65,DeKalb,Flat Shoals,2649,188,658,451,7,1304,1304,
66,DeKalb,Flakes Mill Fire Station,2103,120,753,418,7,1298,1298,
67,DeKalb,Flat Shoals Library,2788,243,729,417,3,1392,1392,
68,DeKalb,Freedom Middle,3227,297,874,542,10,1723,1723,
69,DeKalb,Glennwood,2715,86,882,800,6,1774,1774,
70,DeKalb,Glenhaven,1880,221,484,319,3,1027,1027,
71,DeKalb,Gresham Road,3601,219,1176,775,14,2184,2184,
72,DeKalb,Georgetown Sq,4155,261,1377,640,7,2285,2285,
73,DeKalb,Glenwood Road,2293,201,544,398,4,1147,1147,
74,DeKalb,Hambrick Elem,3776,304,1104,634,9,2051,2051,
75,DeKalb,Hawthorne Elem,3884,291,1217,680,6,2194,2194,
76,DeKalb,Henderson Mill,3104,182,985,687,2,1856,1856,
77,DeKalb,Huntley Hills Elem,3508,324,1182,530,5,2041,2041,
78,DeKalb,Hugh Howell,1773,153,567,338,1,1059,1059,
79,DeKalb,Harris-Narvie J Harris Elem,4031,183,1614,771,10,2578,2578,
80,DeKalb,Harris-Margaret Harris ED,1462,129,494,307,4,934,934,
81,DeKalb,Idlewood Elem,2472,222,751,430,8,1411,1411,
82,DeKalb,Indian Creek,2318,174,510,366,10,1060,1060,
83,DeKalb,Johnson Estates,1600,50,527,527,0,1104,1104,
84,DeKalb,Jolly Elem,3679,266,917,626,15,1824,1824,
85,DeKalb,Kelley Lake Elem,3015,276,765,569,3,1613,1613,
86,DeKalb,Kingsley Elem,2490,168,697,566,9,1440,1440,
87,DeKalb,Kelley Chapel Road,1337,126,465,312,1,904,904,
88,DeKalb,Knollwood,2546,263,662,463,10,1398,1398,
89,DeKalb,Kittredge Elem,2161,125,738,479,4,1346,1346,
90,DeKalb,Lakeside High,3216,213,1038,711,0,1962,1962,
91,DeKalb,Lavista Road,2223,142,587,625,3,1357,1357,
92,DeKalb,Lavista,3223,209,884,630,8,1731,1731,
93,DeKalb,Lithonia,1730,240,397,217,3,857,857,
94,DeKalb,Lin-Mary Lin Elem,3009,138,1093,881,8,2120,2120,
95,DeKalb,Lithonia High,3610,348,1078,532,13,1971,1971,
96,DeKalb,Livsey Elem,1350,81,474,300,0,855,855,
97,DeKalb,Miller-Eldridge L Miller Elem 3455,309,952,701,7,1969,1969,,
98,DeKalb,McNair High,4160,276,1423,937,7,2643,2643,
99,DeKalb,Marbut Elem,4234,324,1412,623,19,2378,2378,
100,DeKalb,McNair,2794,184,824,592,4,1604,1604,
101,DeKalb,McLendon,3607,188,1053,876,10,2127,2127,
102,DeKalb,McWilliams,2517,150,976,546,4,1676,1676,
103,DeKalb,Medlock,2208,144,706,665,2,1517,1517,
104,DeKalb,Midvale Elem,2747,160,847,647,3,1657,1657,
105,DeKalb,Miller Grove,4747,347,1393,676,15,2431,2431,
106,DeKalb,Montclair Elem,2194,220,655,241,8,1124,1124,
107,DeKalb,Montreal,2586,206,822,509,2,1539,1539,
108,DeKalb,Meadowview,3511,225,1001,758,11,1995,1995,
109,DeKalb,Memorial South,3138,254,715,377,18,1364,1364,
110,DeKalb,Midway,3139,179,746,622,7,1554,1554,
111,DeKalb,McNair Academy,1900,132,619,431,5,1187,1187,
112,DeKalb,Mount Vernon East,2651,175,881,469,3,1528,1528,
113,DeKalb,Mathis-Bob Mathis Elem,2789,225,940,688,5,1858,1858,
114,DeKalb,Mount Vernon West,2303,108,846,422,8,1384,1384,
115,DeKalb,Metropolitan,3405,179,1360,734,10,2283,2283,
116,DeKalb,Montgomery Elem,2446,160,805,525,5,1495,1495,
117,DeKalb,Miller Grove Road,2151,183,736,497,5,1421,1421,
118,DeKalb,Midvale Road,1832,151,640,324,2,1117,1117,
119,DeKalb,Miller Grove High,3470,284,980,446,10,1720,1720,
120,DeKalb,North Decatur,2166,124,633,515,12,1284,1284,
121,DeKalb,North Hairston,2329,227,644,409,6,1286,1286,
122,DeKalb,Northlake,1509,127,453,403,1,984,984,
123,DeKalb,North Peachtree,1916,161,524,299,5,989,989,
124,DeKalb,Oak Grove Elem,2253,166,688,586,0,1440,1440,
125,DeKalb,Oakcliff Elem,2125,274,461,294,9,1038,1038,
126,DeKalb,Oakhurst,2398,111,1047,691,2,1851,1851,
127,DeKalb,Oak View Elem,5011,362,1724,740,19,2845,2845,
128,DeKalb,Peachcrest,2458,173,622,433,4,1232,1232,
129,DeKalb,Peachtree Middle,3502,247,1191,597,5,2040,2040,
130,DeKalb,Princeton Elem,2376,171,863,453,5,1492,1492,
131,DeKalb,Pine Lake,632,244,136,70,0,450,450,
132,DeKalb,Pleasantdale Road,4538,432,1171,596,10,2209,2209,
133,DeKalb,Ponce de Leon,3766,120,909,814,13,1856,1856,
134,DeKalb,Panola,1586,139,474,319,2,934,934,
135,DeKalb,Panola Way Elem,2252,206,588,313,21,1128,1128,
136,DeKalb,Piney Grove,2018,162,531,336,7,1036,1036,
137,DeKalb,Panola Road,2884,193,1021,564,8,1786,1786,
138,DeKalb,Rainbow Elem,3768,263,1197,827,8,2295,2295,
139,DeKalb,Redan Elem,3020,208,1151,581,8,1948,1948,
140,DeKalb,Rehoboth,1813,102,483,543,3,1131,1131,
141,DeKalb,Rockbridge Elem,3595,321,948,504,17,1790,1790,
142,DeKalb,Rock Chapel Elem,2910,215,1118,515,7,1855,1855,
143,DeKalb,Rowland Elem,3765,292,913,582,8,1795,1795,
144,DeKalb,Redan-Trotti Library,3990,273,1277,736,21,2307,2307,
145,DeKalb,Rockbridge Road,3965,306,1483,961,9,2759,2759,
146,DeKalb,Rowland Road,2080,188,589,414,8,1199,1199,
147,DeKalb,Redan Road,2932,232,895,497,11,1635,1635,
148,DeKalb,Rock Chapel Road,4178,255,1618,800,19,2692,2692,
149,DeKalb,Redan Middle,2496,153,865,518,5,1541,1541,
150,DeKalb,Sagamore Hills Elem,2925,192,921,829,0,1942,1942,
151,DeKalb,Scott,2805,119,827,862,1,1809,1809,
152,DeKalb,Shaw-Robert Shaw Elem,2892,251,855,573,3,1682,1682,
153,DeKalb,Stone Mountain Elem,2338,160,523,574,3,1260,1260,
154,DeKalb,Silver Lake,4979,234,1535,922,2,2693,2693,
155,DeKalb,Skyland,2100,177,683,375,6,1241,1241,
156,DeKalb,Snapfinger Elem,1894,163,606,496,0,1265,1265,
157,DeKalb,Smoke Rise,2108,144,670,496,1,1311,1311,
158,DeKalb,Stone Mtn Middle,3247,292,616,320,15,1243,1243,
159,DeKalb,Stone Mill Elem,3714,344,680,457,14,1495,1495,
160,DeKalb,Shadow Rock Elem,4347,289,1570,1021,12,2892,2892,
161,DeKalb,Stoneview Elem,1988,167,488,248,10,913,913,
162,DeKalb,Salem Middle,3519,224,1400,832,6,2462,2462,
163,DeKalb,Shamrock,1600,137,466,471,4,1078,1078,
164,DeKalb,South Deshon,3470,258,1278,630,11,2177,2177,
165,DeKalb,Stone Mtn Champion,3098,306,775,466,10,1557,1557,
166,DeKalb,Stone Mtn,1711,183,370,308,2,863,863,
167,DeKalb,Snapfinger Road N,2705,239,680,462,5,1386,1386,
168,DeKalb,Snapfinger Road S,1960,154,713,428,3,1298,1298,
169,DeKalb,Stephenson Middle,3822,300,1398,779,2,2479,2479,
170,DeKalb,South Hairston,3814,357,1094,627,12,2090,2090,
171,DeKalb,Stephenson High,3555,262,1195,800,6,2263,2263,
172,DeKalb,Stonecrest Library,3720,219,1537,533,13,2302,2302,
173,DeKalb,Snapfinger Road,4872,219,2207,1063,9,3498,3498,
174,DeKalb,Terry Mill,2808,226,967,585,5,1783,1783,
175,DeKalb,Toney Elem,1729,155,456,343,6,960,960,
176,DeKalb,Tucker Library,3506,136,1218,722,3,2079,2079,
177,DeKalb,Tilly Mill Road,1552,114,496,288,0,898,898,
178,DeKalb,Tucker,2932,136,966,605,6,1713,1713,
179,DeKalb,Valley Brook,1037,123,308,243,6,680,680,
180,DeKalb,Wadsworth,3159,278,871,644,10,1803,1803,
181,DeKalb,Wesley Chapel Library,2922,197,1110,699,7,2013,2013,
182,DeKalb,Woodrow Road,3493,248,1103,485,12,1848,1848,
183,DeKalb,Winnona Park,2020,52,877,565,2,1496,1496,
184,DeKalb,Woodridge Elem,3851,325,1023,742,12,2102,2102,
185,DeKalb,Warren Tech,1364,170,363,217,4,754,754,
186,DeKalb,Woodward,3193,173,997,798,2,1970,1970,
187,DeKalb,White Oak,2951,310,731,419,7,1467,1467,
188,DeKalb,Winters Chapel,1434,103,440,319,2,864,864,
189,DeKalb,Wynbrooke Elem,3496,288,1330,809,13,2440,2440,
190,DeKalb,Young Road,1951,106,770,421,8,1305,1305,
