County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Choice Total,Total Votes
Wayne,Altamaha,2857.0,1342.0,409.0,23.0,1774.0
Wayne,Gardi,1123.0,718.0,79.0,16.0,813.0
Wayne,VFW,1145.0,152.0,482.0,18.0,652.0
Wayne,Pine Street,1140.0,397.0,322.0,14.0,733.0
Wayne,Unity,1905.0,932.0,364.0,33.0,1329.0
Wayne,Rec Center,1766.0,928.0,286.0,37.0,1251.0
Fulton,01A,3694.0,271.0,2524.0,55.0,2850.0
Fulton,01B,4327.0,329.0,2903.0,73.0,3305.0
Fulton,01C,1908.0,43.0,699.0,26.0,768.0
Fulton,01D,754.0,40.0,422.0,6.0,468.0
Fulton,01E,3720.0,317.0,2369.0,44.0,2730.0
Fulton,01F,1593.0,23.0,478.0,18.0,519.0
Fulton,01G,2312.0,84.0,1136.0,31.0,1251.0
Fulton,01H,896.0,18.0,387.0,15.0,420.0
Fulton,01I,0.0,1.0,0.0,0.0,1.0
Fulton,01J,2848.0,83.0,1238.0,42.0,1363.0
Fulton,01P,1444.0,23.0,593.0,11.0,627.0
Fulton,01R,1550.0,33.0,459.0,19.0,511.0
Fulton,01S,2118.0,54.0,913.0,19.0,986.0
Fulton,01T,1799.0,76.0,794.0,19.0,889.0
Fulton,02A,4884.0,792.0,2810.0,66.0,3668.0
Fulton,02A1,733.0,101.0,333.0,17.0,451.0
Fulton,02B,4020.0,164.0,1218.0,43.0,1425.0
Fulton,02C,2034.0,135.0,1138.0,37.0,1310.0
Fulton,02D,5539.0,553.0,3053.0,79.0,3685.0
Fulton,02E,2009.0,174.0,1421.0,20.0,1615.0
Fulton,02F1,3221.0,331.0,2001.0,55.0,2387.0
Fulton,02F2,851.0,72.0,421.0,9.0,502.0
Fulton,02G,3895.0,408.0,2426.0,66.0,2900.0
Fulton,02J,2273.0,199.0,1379.0,37.0,1615.0
Fulton,02K,1461.0,145.0,887.0,32.0,1064.0
Fulton,02L1,5546.0,746.0,3308.0,80.0,4134.0
Fulton,02L1A,1477.0,129.0,704.0,11.0,844.0
Fulton,02L2,2249.0,269.0,1242.0,21.0,1532.0
Fulton,02S,790.0,41.0,443.0,11.0,495.0
Fulton,02W,978.0,101.0,538.0,16.0,655.0
Fulton,03A,2230.0,38.0,755.0,17.0,810.0
Fulton,03B,777.0,17.0,195.0,17.0,229.0
Fulton,03C,1879.0,27.0,704.0,24.0,755.0
Fulton,03D,1235.0,29.0,411.0,18.0,458.0
Fulton,03E,2894.0,54.0,1007.0,30.0,1091.0
Fulton,03F,2328.0,254.0,1208.0,36.0,1498.0
Fulton,03G,1033.0,11.0,267.0,11.0,289.0
Fulton,03H,1091.0,18.0,385.0,15.0,418.0
Fulton,03I,1607.0,99.0,545.0,14.0,658.0
Fulton,03L,748.0,12.0,204.0,6.0,222.0
Fulton,03M,965.0,101.0,435.0,19.0,555.0
Fulton,03N,2804.0,48.0,848.0,28.0,924.0
Fulton,03P1A,4404.0,328.0,2064.0,60.0,2452.0
Fulton,03P2,23.0,0.0,7.0,0.0,7.0
Fulton,03S,908.0,13.0,402.0,10.0,425.0
Fulton,03T,1742.0,44.0,755.0,29.0,828.0
Fulton,04A,1554.0,22.0,572.0,14.0,608.0
Fulton,04B,2948.0,34.0,736.0,17.0,787.0
Fulton,04C,150.0,0.0,52.0,0.0,52.0
Fulton,04D,1736.0,43.0,783.0,22.0,848.0
Fulton,04F,2786.0,119.0,1113.0,29.0,1261.0
Fulton,04G,1025.0,10.0,381.0,15.0,406.0
Fulton,04I,4604.0,71.0,745.0,22.0,838.0
Fulton,04J,1617.0,10.0,174.0,7.0,191.0
Fulton,04K,2736.0,45.0,1254.0,29.0,1328.0
Fulton,04L,2014.0,49.0,902.0,30.0,981.0
Fulton,04M,979.0,13.0,316.0,15.0,344.0
Fulton,04S,2541.0,56.0,1160.0,26.0,1242.0
Fulton,04T,1297.0,23.0,645.0,18.0,686.0
Fulton,04V,3573.0,50.0,1266.0,44.0,1360.0
Fulton,04W,3365.0,3.0,221.0,3.0,227.0
Fulton,04X1,2283.0,54.0,1015.0,26.0,1095.0
Fulton,04X2,846.0,23.0,381.0,14.0,418.0
Fulton,05A1,2936.0,228.0,1938.0,50.0,2216.0
Fulton,05A2,3343.0,247.0,2123.0,46.0,2416.0
Fulton,05B,2171.0,67.0,1022.0,20.0,1109.0
Fulton,05C,135.0,5.0,40.0,0.0,45.0
Fulton,05D,541.0,4.0,88.0,1.0,93.0
Fulton,05F,248.0,12.0,124.0,5.0,141.0
Fulton,05J,684.0,50.0,420.0,10.0,480.0
Fulton,05K,2826.0,113.0,1072.0,45.0,1230.0
Fulton,06B,1889.0,272.0,1168.0,21.0,1461.0
Fulton,06D,6160.0,1073.0,4174.0,82.0,5329.0
Fulton,06D1,2539.0,362.0,1115.0,21.0,1498.0
Fulton,06D2,850.0,135.0,355.0,10.0,500.0
Fulton,06E,2344.0,329.0,1248.0,39.0,1616.0
Fulton,06F,2841.0,382.0,1624.0,50.0,2056.0
Fulton,06G,588.0,81.0,333.0,11.0,425.0
Fulton,06I,4072.0,355.0,2087.0,63.0,2505.0
Fulton,06J,2770.0,423.0,1765.0,50.0,2238.0
Fulton,06L1,991.0,215.0,578.0,9.0,802.0
Fulton,06L2,726.0,192.0,375.0,9.0,576.0
Fulton,06N,1770.0,443.0,722.0,22.0,1187.0
Fulton,06Q,571.0,23.0,315.0,7.0,345.0
Fulton,06R,2015.0,316.0,1017.0,27.0,1360.0
Fulton,07A,7691.0,2226.0,3070.0,99.0,5395.0
Fulton,07B,2952.0,1497.0,941.0,37.0,2475.0
Fulton,07C,4512.0,1389.0,1771.0,37.0,3197.0
Fulton,07D,4879.0,1326.0,1877.0,46.0,3249.0
Fulton,07E,2247.0,561.0,1110.0,37.0,1708.0
Fulton,07F,3790.0,1209.0,1604.0,50.0,2863.0
Fulton,07H,2060.0,698.0,921.0,29.0,1648.0
Fulton,07J,3041.0,832.0,1402.0,43.0,2277.0
Fulton,07M,2401.0,470.0,987.0,30.0,1487.0
Fulton,07N,2139.0,220.0,1047.0,33.0,1300.0
Fulton,08A,3084.0,1176.0,1184.0,40.0,2400.0
Fulton,08B,3498.0,1520.0,1208.0,50.0,2778.0
Fulton,08C,1500.0,795.0,400.0,12.0,1207.0
Fulton,08D,1073.0,578.0,296.0,13.0,887.0
Fulton,08E,2568.0,1249.0,903.0,22.0,2174.0
Fulton,08F1,2187.0,1183.0,664.0,22.0,1869.0
Fulton,08G,3086.0,807.0,1164.0,45.0,2016.0
Fulton,08H,2556.0,1176.0,901.0,24.0,2101.0
Fulton,08J,3344.0,1207.0,1389.0,47.0,2643.0
Fulton,08K,1049.0,309.0,508.0,22.0,839.0
Fulton,08L,4505.0,1064.0,2132.0,78.0,3274.0
Fulton,08M,2295.0,1087.0,688.0,20.0,1795.0
Fulton,08N1,824.0,403.0,262.0,6.0,671.0
Fulton,08N2,1616.0,513.0,667.0,22.0,1202.0
Fulton,08P,1887.0,212.0,895.0,35.0,1142.0
Fulton,09A,3856.0,668.0,2015.0,69.0,2752.0
Fulton,09B,464.0,6.0,172.0,3.0,181.0
Fulton,09C,3353.0,61.0,1574.0,40.0,1675.0
Fulton,09D,2299.0,41.0,933.0,26.0,1000.0
Fulton,09E,3261.0,128.0,1474.0,37.0,1639.0
Fulton,09F,3917.0,1164.0,1750.0,53.0,2967.0
Fulton,09G,3943.0,643.0,2095.0,70.0,2808.0
Fulton,09H,1185.0,87.0,602.0,24.0,713.0
Fulton,09I,1397.0,34.0,548.0,19.0,601.0
Fulton,09K,4002.0,79.0,1555.0,61.0,1695.0
Fulton,09K1,1518.0,24.0,447.0,16.0,487.0
Fulton,09M,2578.0,348.0,1515.0,59.0,1922.0
Fulton,10A,3186.0,52.0,1712.0,35.0,1799.0
Fulton,10B,3965.0,72.0,2557.0,44.0,2673.0
Fulton,10C,2598.0,34.0,1116.0,34.0,1184.0
Fulton,10D,4968.0,94.0,2063.0,60.0,2217.0
Fulton,10E,1084.0,29.0,557.0,11.0,597.0
Fulton,10F,1208.0,24.0,633.0,8.0,665.0
Fulton,10G,1332.0,33.0,832.0,18.0,883.0
Fulton,10H1,439.0,7.0,266.0,5.0,278.0
Fulton,10H2,2623.0,39.0,1033.0,39.0,1111.0
Fulton,10I,331.0,11.0,256.0,2.0,269.0
Fulton,10J,1238.0,22.0,463.0,13.0,498.0
Fulton,10K,1614.0,45.0,950.0,22.0,1017.0
Fulton,10M,2880.0,54.0,1513.0,40.0,1607.0
Fulton,10P,1607.0,28.0,699.0,21.0,748.0
Fulton,10R,928.0,14.0,375.0,15.0,404.0
Fulton,11B,4395.0,75.0,2499.0,37.0,2611.0
Fulton,11B1,894.0,15.0,392.0,6.0,413.0
Fulton,11C,3149.0,46.0,2070.0,33.0,2149.0
Fulton,11E1,1340.0,41.0,670.0,14.0,725.0
Fulton,11E2,1003.0,18.0,569.0,15.0,602.0
Fulton,11E3,3605.0,59.0,1964.0,29.0,2052.0
Fulton,11G,2556.0,54.0,901.0,32.0,987.0
Fulton,11H,753.0,20.0,361.0,12.0,393.0
Fulton,11J,2092.0,43.0,1013.0,31.0,1087.0
Fulton,11K,2045.0,46.0,1141.0,26.0,1213.0
Fulton,11M,1380.0,21.0,1036.0,10.0,1067.0
Fulton,11M1,2190.0,36.0,729.0,17.0,782.0
Fulton,11N,2431.0,59.0,1414.0,32.0,1505.0
Fulton,11P,2095.0,32.0,1060.0,28.0,1120.0
Fulton,11R,2253.0,29.0,794.0,21.0,844.0
Fulton,12A,4971.0,172.0,2608.0,69.0,2849.0
Fulton,12A1,690.0,23.0,359.0,17.0,399.0
Fulton,12D,1408.0,33.0,564.0,14.0,611.0
Fulton,12E1,1906.0,58.0,637.0,24.0,719.0
Fulton,12F,1229.0,27.0,486.0,11.0,524.0
Fulton,12G,885.0,26.0,414.0,4.0,444.0
Fulton,12H1,1170.0,21.0,344.0,14.0,379.0
Fulton,12H2,2998.0,47.0,1348.0,32.0,1427.0
Fulton,12I,1079.0,21.0,466.0,21.0,508.0
Fulton,12J,3154.0,58.0,1308.0,29.0,1395.0
Fulton,12K,3620.0,93.0,1476.0,57.0,1626.0
Fulton,12L,774.0,14.0,258.0,9.0,281.0
Fulton,12M,2990.0,48.0,1288.0,44.0,1380.0
Fulton,12N,1134.0,17.0,397.0,12.0,426.0
Fulton,12S,2079.0,31.0,977.0,21.0,1029.0
Fulton,AP01A,5236.0,2004.0,2038.0,58.0,4100.0
Fulton,AP01B,1281.0,395.0,450.0,25.0,870.0
Fulton,AP01C,2409.0,960.0,887.0,41.0,1888.0
Fulton,AP01D,1015.0,286.0,376.0,19.0,681.0
Fulton,AP021,3408.0,1313.0,1196.0,64.0,2573.0
Fulton,AP022,2507.0,790.0,938.0,42.0,1770.0
Fulton,AP02B,677.0,212.0,260.0,11.0,483.0
Fulton,AP03,775.0,94.0,316.0,15.0,425.0
Fulton,AP04A,1760.0,813.0,603.0,29.0,1445.0
Fulton,AP04B,473.0,216.0,174.0,11.0,401.0
Fulton,AP05,4776.0,1981.0,1762.0,51.0,3794.0
Fulton,AP06,1967.0,948.0,619.0,30.0,1597.0
Fulton,AP07A,3910.0,1398.0,1367.0,80.0,2845.0
Fulton,AP07B,1882.0,780.0,693.0,22.0,1495.0
Fulton,AP09A,4437.0,1573.0,1795.0,79.0,3447.0
Fulton,AP09B,925.0,253.0,433.0,15.0,701.0
Fulton,AP10,992.0,501.0,297.0,25.0,823.0
Fulton,AP12A,746.0,188.0,304.0,13.0,505.0
Fulton,AP12B,947.0,195.0,387.0,17.0,599.0
Fulton,AP12C,2367.0,996.0,719.0,36.0,1751.0
Fulton,AP14,3232.0,1220.0,1322.0,55.0,2597.0
Fulton,CH01,376.0,58.0,146.0,6.0,210.0
Fulton,CH02,338.0,147.0,97.0,4.0,248.0
Fulton,CH03,410.0,203.0,96.0,9.0,308.0
Fulton,CH04A,825.0,340.0,317.0,13.0,670.0
Fulton,CH05,429.0,231.0,89.0,10.0,330.0
Fulton,CP011,1353.0,148.0,596.0,20.0,764.0
Fulton,CP012,1469.0,155.0,752.0,22.0,929.0
Fulton,CP01B,422.0,71.0,174.0,9.0,254.0
Fulton,CP02,1208.0,75.0,580.0,18.0,673.0
Fulton,CP04A,13.0,2.0,2.0,0.0,4.0
Fulton,CP04B,38.0,2.0,15.0,2.0,19.0
Fulton,CP051,1756.0,33.0,917.0,20.0,970.0
Fulton,CP05B,153.0,5.0,71.0,2.0,78.0
Fulton,CP06A,732.0,15.0,216.0,5.0,236.0
Fulton,CP07B,7.0,2.0,2.0,0.0,4.0
Fulton,CP07C,323.0,2.0,69.0,2.0,73.0
Fulton,CP07D,790.0,12.0,213.0,10.0,235.0
Fulton,CP07E,127.0,1.0,39.0,2.0,42.0
Fulton,CP07F,266.0,2.0,60.0,3.0,65.0
Fulton,CP081,373.0,8.0,98.0,4.0,110.0
Fulton,CP083,240.0,3.0,34.0,0.0,37.0
Fulton,CP084,1.0,0.0,0.0,0.0,0.0
Fulton,CP08A,756.0,10.0,166.0,6.0,182.0
Fulton,EP01A,2978.0,149.0,1445.0,48.0,1642.0
Fulton,EP01B,3473.0,126.0,1565.0,52.0,1743.0
Fulton,EP02A,2407.0,65.0,1002.0,27.0,1094.0
Fulton,EP02B,1679.0,161.0,963.0,20.0,1144.0
Fulton,EP02C,522.0,43.0,257.0,11.0,311.0
Fulton,EP02D,420.0,10.0,234.0,1.0,245.0
Fulton,EP02E,1668.0,50.0,678.0,29.0,757.0
Fulton,EP03A,4925.0,170.0,2628.0,55.0,2853.0
Fulton,EP03B,1547.0,63.0,1006.0,12.0,1081.0
Fulton,EP04A,5020.0,97.0,2448.0,49.0,2594.0
Fulton,EP04B,2624.0,38.0,1484.0,23.0,1545.0
Fulton,EP04C,1318.0,17.0,432.0,8.0,457.0
Fulton,FA01A,4032.0,273.0,2185.0,57.0,2515.0
Fulton,FA01B,5860.0,338.0,3012.0,59.0,3409.0
Fulton,FA01C,769.0,28.0,442.0,8.0,478.0
Fulton,FA01D,321.0,14.0,157.0,7.0,178.0
Fulton,FC01,325.0,5.0,169.0,8.0,182.0
Fulton,FC02,585.0,10.0,45.0,4.0,59.0
Fulton,FC03,17.0,1.0,16.0,0.0,17.0
Fulton,HP01,3824.0,543.0,1570.0,76.0,2189.0
Fulton,JC01,4128.0,1265.0,2116.0,53.0,3434.0
Fulton,JC01A,1738.0,364.0,657.0,21.0,1042.0
Fulton,JC02,3001.0,908.0,1242.0,37.0,2187.0
Fulton,JC03A,594.0,212.0,267.0,7.0,486.0
Fulton,JC03B,1616.0,459.0,734.0,42.0,1235.0
Fulton,JC04A,3177.0,1163.0,1394.0,39.0,2596.0
Fulton,JC04B,334.0,86.0,138.0,4.0,228.0
Fulton,JC04C,1251.0,383.0,549.0,38.0,970.0
Fulton,JC05,2350.0,746.0,976.0,44.0,1766.0
Fulton,JC06,2840.0,1019.0,1010.0,34.0,2063.0
Fulton,JC07,4670.0,1464.0,2018.0,69.0,3551.0
Fulton,JC08,2931.0,1052.0,1185.0,64.0,2301.0
Fulton,JC09,3250.0,972.0,1358.0,52.0,2382.0
Fulton,JC10,2641.0,718.0,1194.0,64.0,1976.0
Fulton,JC11,3497.0,1426.0,1208.0,62.0,2696.0
Fulton,JC12,2832.0,1391.0,826.0,32.0,2249.0
Fulton,JC13A,2317.0,1139.0,676.0,25.0,1840.0
Fulton,JC13B,282.0,167.0,63.0,2.0,232.0
Fulton,JC14,2608.0,1117.0,946.0,28.0,2091.0
Fulton,JC15,959.0,256.0,421.0,23.0,700.0
Fulton,JC16,2707.0,995.0,1050.0,54.0,2099.0
Fulton,JC18,2857.0,1237.0,1048.0,36.0,2321.0
Fulton,JC19,4174.0,1421.0,1696.0,74.0,3191.0
Fulton,ML01A,2795.0,1334.0,956.0,43.0,2333.0
Fulton,ML01B,708.0,353.0,192.0,8.0,553.0
Fulton,ML02A,2580.0,1469.0,599.0,38.0,2106.0
Fulton,ML02B,1914.0,1022.0,492.0,32.0,1546.0
Fulton,ML03,3718.0,2005.0,986.0,54.0,3045.0
Fulton,ML03A,301.0,155.0,52.0,4.0,211.0
Fulton,ML04,3322.0,1633.0,1001.0,33.0,2667.0
Fulton,ML05,4843.0,1852.0,1747.0,58.0,3657.0
Fulton,ML06A,2181.0,451.0,896.0,39.0,1386.0
Fulton,ML06B,3119.0,783.0,1387.0,53.0,2223.0
Fulton,ML07A,836.0,425.0,216.0,11.0,652.0
Fulton,ML07B,1675.0,860.0,442.0,28.0,1330.0
Fulton,MP01,472.0,182.0,179.0,14.0,375.0
Fulton,PA01,3006.0,405.0,1366.0,47.0,1818.0
Fulton,RW01,5010.0,2375.0,1743.0,92.0,4210.0
Fulton,RW02,4061.0,1663.0,1565.0,82.0,3310.0
Fulton,RW03,5041.0,1392.0,1915.0,101.0,3408.0
Fulton,RW04,1861.0,697.0,809.0,40.0,1546.0
Fulton,RW05,2910.0,617.0,1166.0,60.0,1843.0
Fulton,RW06,3071.0,1000.0,1257.0,42.0,2299.0
Fulton,RW07A,1773.0,141.0,726.0,38.0,905.0
Fulton,RW07B,449.0,72.0,200.0,9.0,281.0
Fulton,RW08,2429.0,1095.0,709.0,36.0,1840.0
Fulton,RW09,4450.0,2354.0,1478.0,77.0,3909.0
Fulton,RW09A,1892.0,839.0,440.0,27.0,1306.0
Fulton,RW10,3653.0,1727.0,1180.0,72.0,2979.0
Fulton,RW11A,2865.0,952.0,1060.0,52.0,2064.0
Fulton,RW12,3899.0,1987.0,1553.0,67.0,3607.0
Fulton,RW12A,2458.0,872.0,657.0,34.0,1563.0
Fulton,RW13,3764.0,1447.0,1445.0,76.0,2968.0
Fulton,RW16,2101.0,918.0,732.0,32.0,1682.0
Fulton,RW17,3100.0,774.0,1298.0,82.0,2154.0
Fulton,RW19,2147.0,1017.0,713.0,39.0,1769.0
Fulton,RW20,2701.0,1108.0,1039.0,42.0,2189.0
Fulton,RW21,3362.0,1490.0,1094.0,53.0,2637.0
Fulton,RW22A,4788.0,1138.0,1934.0,87.0,3159.0
Fulton,SC01A,41.0,4.0,48.0,1.0,53.0
Fulton,SC01B,2088.0,47.0,1544.0,20.0,1611.0
Fulton,SC01C,2249.0,57.0,1582.0,13.0,1652.0
Fulton,SC02,1426.0,30.0,1026.0,5.0,1061.0
Fulton,SC04,1080.0,210.0,512.0,14.0,736.0
Fulton,SC05A,721.0,11.0,453.0,11.0,475.0
Fulton,SC05B,3646.0,89.0,2408.0,37.0,2534.0
Fulton,SC05D,2808.0,62.0,1817.0,28.0,1907.0
Fulton,SC05E,688.0,72.0,397.0,6.0,475.0
Fulton,SC07A,4506.0,341.0,2985.0,62.0,3388.0
Fulton,SC07C,41.0,2.0,10.0,1.0,13.0
Fulton,SC07D,2038.0,45.0,1047.0,21.0,1113.0
Fulton,SC08B,4096.0,107.0,2399.0,61.0,2567.0
Fulton,SC08C,91.0,2.0,68.0,0.0,70.0
Fulton,SC08D,605.0,8.0,350.0,4.0,362.0
Fulton,SC08E,724.0,7.0,420.0,11.0,438.0
Fulton,SC08F,793.0,11.0,415.0,6.0,432.0
Fulton,SC08G,14.0,0.0,3.0,0.0,3.0
Fulton,SC08H,1.0,0.0,0.0,0.0,0.0
Fulton,SC09A,1865.0,42.0,915.0,22.0,979.0
Fulton,SC09B,1920.0,38.0,1187.0,24.0,1249.0
Fulton,SC09C,1852.0,42.0,990.0,20.0,1052.0
Fulton,SC10,1912.0,37.0,757.0,16.0,810.0
Fulton,SC11A,1656.0,32.0,950.0,17.0,999.0
Fulton,SC11B,1691.0,42.0,952.0,13.0,1007.0
Fulton,SC13,2895.0,109.0,1856.0,41.0,2006.0
Fulton,SC14A,1030.0,21.0,476.0,11.0,508.0
Fulton,SC15,4522.0,154.0,3010.0,46.0,3210.0
Fulton,SC15A,2482.0,36.0,1525.0,22.0,1583.0
Fulton,SC16A,5175.0,91.0,3573.0,32.0,3696.0
Fulton,SC17A,60.0,2.0,39.0,3.0,44.0
Fulton,SC17B,10.0,1.0,4.0,0.0,5.0
Fulton,SC17C,1293.0,42.0,725.0,16.0,783.0
Fulton,SC18A,570.0,15.0,363.0,10.0,388.0
Fulton,SC18B,915.0,23.0,645.0,10.0,678.0
Fulton,SC18C,2100.0,60.0,1495.0,14.0,1569.0
Fulton,SC19A,213.0,8.0,133.0,1.0,142.0
Fulton,SC19B,1628.0,33.0,773.0,23.0,829.0
Fulton,SC20,2562.0,53.0,1957.0,22.0,2032.0
Fulton,SC211,1828.0,58.0,1196.0,26.0,1280.0
Fulton,SC212,4244.0,150.0,2529.0,44.0,2723.0
Fulton,SC23A,3854.0,73.0,2054.0,49.0,2176.0
Fulton,SC23B,558.0,22.0,315.0,10.0,347.0
Fulton,SC23C,2606.0,49.0,1458.0,22.0,1529.0
Fulton,SC27,2361.0,46.0,1326.0,25.0,1397.0
Fulton,SC29A,3154.0,71.0,1734.0,41.0,1846.0
Fulton,SC30A,157.0,5.0,112.0,1.0,118.0
Fulton,SC30B,1110.0,20.0,556.0,20.0,596.0
Fulton,SS01,4846.0,2213.0,1599.0,68.0,3880.0
Fulton,SS02A,1206.0,367.0,519.0,20.0,906.0
Fulton,SS02B,1318.0,236.0,658.0,26.0,920.0
Fulton,SS03,1577.0,523.0,685.0,18.0,1226.0
Fulton,SS04,3763.0,920.0,1710.0,66.0,2696.0
Fulton,SS05,1853.0,771.0,789.0,19.0,1579.0
Fulton,SS06,1667.0,694.0,696.0,27.0,1417.0
Fulton,SS07A,1254.0,521.0,463.0,10.0,994.0
Fulton,SS07B,793.0,208.0,345.0,11.0,564.0
Fulton,SS07C,809.0,249.0,270.0,13.0,532.0
Fulton,SS08A,1891.0,385.0,892.0,26.0,1303.0
Fulton,SS08B,696.0,264.0,279.0,16.0,559.0
Fulton,SS08C,716.0,151.0,340.0,12.0,503.0
Fulton,SS08D,1555.0,334.0,678.0,24.0,1036.0
Fulton,SS09A,3193.0,1421.0,1130.0,41.0,2592.0
Fulton,SS09B,3611.0,1551.0,1366.0,35.0,2952.0
Fulton,SS11A,4026.0,1009.0,1691.0,69.0,2769.0
Fulton,SS11B,1412.0,238.0,638.0,15.0,891.0
Fulton,SS11C,361.0,31.0,160.0,7.0,198.0
Fulton,SS11D,397.0,158.0,157.0,7.0,322.0
Fulton,SS12,2897.0,1066.0,1146.0,37.0,2249.0
Fulton,SS13A,2103.0,708.0,784.0,29.0,1521.0
Fulton,SS13B,1278.0,394.0,509.0,20.0,923.0
Fulton,SS14,1412.0,755.0,404.0,13.0,1172.0
Fulton,SS15A,2756.0,234.0,1237.0,41.0,1512.0
Fulton,SS15B,1730.0,351.0,726.0,41.0,1118.0
Fulton,SS16,2116.0,946.0,779.0,24.0,1749.0
Fulton,SS17,3686.0,1333.0,1353.0,42.0,2728.0
Fulton,SS18A,657.0,270.0,267.0,8.0,545.0
Fulton,SS18B,241.0,101.0,92.0,2.0,195.0
Fulton,SS19A,3299.0,504.0,1470.0,74.0,2048.0
Fulton,SS19B,2342.0,473.0,1161.0,43.0,1677.0
Fulton,SS20,2404.0,471.0,1020.0,29.0,1520.0
Fulton,SS22,2834.0,704.0,1022.0,40.0,1766.0
Fulton,SS26,3824.0,370.0,1720.0,104.0,2194.0
