County,Precinct,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total Votes
Floyd,Floyd Springs,1666.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,155.0,197.0,61.0,13.0,426.0,0.0,1.0,2.0,0.0,3.0,5.0,6.0,3.0,0.0,14.0,0.0,1.0,0.0,0.0,1.0,8.0,5.0,2.0,0.0,15.0,2.0,3.0,1.0,2.0,8.0,1.0,1.0,0.0,0.0,2.0,3.0,9.0,0.0,0.0,12.0,3.0,4.0,1.0,0.0,8.0,8.0,6.0,4.0,0.0,18.0,218.0,291.0,75.0,25.0,609.0,0.0,0.0,1.0,0.0,1.0,6.0,2.0,1.0,0.0,9.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,17.0,23.0,52.0,37.0,2.0,114.0,1.0,0.0,0.0,0.0,1.0,1266.0
Floyd,Fosters Mill,971.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,103.0,94.0,24.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,12.0,2.0,1.0,1.0,0.0,4.0,1.0,3.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,10.0,154.0,144.0,42.0,2.0,342.0,1.0,2.0,0.0,0.0,3.0,7.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,13.0,18.0,24.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,681.0
Floyd,Garden Lakes,2261.0,2.0,4.0,0.0,0.0,6.0,0.0,3.0,3.0,0.0,6.0,71.0,233.0,75.0,0.0,379.0,0.0,5.0,0.0,0.0,5.0,3.0,6.0,3.0,0.0,12.0,5.0,0.0,0.0,0.0,5.0,3.0,10.0,4.0,0.0,17.0,15.0,38.0,13.0,0.0,66.0,4.0,9.0,3.0,0.0,16.0,6.0,9.0,1.0,0.0,16.0,4.0,15.0,6.0,0.0,25.0,12.0,23.0,8.0,0.0,43.0,111.0,301.0,100.0,0.0,512.0,1.0,5.0,1.0,0.0,7.0,1.0,2.0,3.0,0.0,6.0,2.0,2.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,5.0,9.0,14.0,0.0,0.0,23.0,46.0,114.0,86.0,0.0,246.0,3.0,2.0,1.0,0.0,6.0,1405.0
Floyd,Glenwood,3635.0,0.0,1.0,1.0,0.0,2.0,2.0,4.0,5.0,0.0,11.0,183.0,334.0,103.0,0.0,620.0,3.0,2.0,2.0,0.0,7.0,15.0,19.0,6.0,0.0,40.0,3.0,2.0,0.0,0.0,5.0,9.0,21.0,2.0,0.0,32.0,13.0,13.0,26.0,0.0,52.0,4.0,10.0,6.0,0.0,20.0,10.0,12.0,4.0,0.0,26.0,7.0,8.0,4.0,0.0,19.0,14.0,29.0,16.0,0.0,59.0,248.0,525.0,130.0,1.0,904.0,2.0,7.0,3.0,0.0,12.0,6.0,9.0,2.0,0.0,17.0,3.0,2.0,2.0,0.0,7.0,2.0,0.0,3.0,0.0,5.0,12.0,24.0,2.0,0.0,38.0,77.0,149.0,128.0,2.0,356.0,4.0,2.0,2.0,0.0,8.0,2240.0
Floyd,Howell,1492.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,160.0,117.0,49.0,8.0,334.0,3.0,0.0,1.0,0.0,4.0,7.0,6.0,4.0,0.0,17.0,0.0,2.0,0.0,0.0,2.0,5.0,9.0,0.0,0.0,14.0,1.0,7.0,5.0,0.0,13.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,7.0,6.0,1.0,0.0,14.0,232.0,222.0,69.0,3.0,526.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,1.0,0.0,19.0,18.0,31.0,19.0,0.0,68.0,0.0,1.0,1.0,0.0,2.0,1033.0
Floyd,East Lindale,3398.0,1.0,3.0,3.0,0.0,7.0,2.0,4.0,0.0,0.0,6.0,148.0,334.0,115.0,0.0,597.0,2.0,4.0,2.0,0.0,8.0,7.0,21.0,2.0,0.0,30.0,5.0,1.0,1.0,0.0,7.0,11.0,10.0,3.0,0.0,24.0,22.0,27.0,14.0,0.0,63.0,3.0,10.0,6.0,0.0,19.0,5.0,9.0,1.0,0.0,15.0,8.0,10.0,9.0,0.0,27.0,10.0,25.0,8.0,0.0,43.0,238.0,500.0,140.0,1.0,879.0,2.0,5.0,1.0,0.0,8.0,6.0,10.0,1.0,0.0,17.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0,3.0,0.0,35.0,60.0,146.0,129.0,0.0,335.0,1.0,2.0,2.0,0.0,5.0,2128.0
Floyd,Mt Alto North,5096.0,5.0,9.0,4.0,0.0,18.0,4.0,5.0,6.0,0.0,15.0,74.0,416.0,139.0,0.0,629.0,6.0,7.0,3.0,0.0,16.0,6.0,18.0,6.0,0.0,30.0,3.0,6.0,0.0,0.0,9.0,6.0,25.0,6.0,0.0,37.0,51.0,111.0,53.0,0.0,215.0,15.0,25.0,12.0,0.0,52.0,4.0,16.0,1.0,0.0,21.0,16.0,38.0,15.0,0.0,69.0,24.0,55.0,18.0,0.0,97.0,110.0,604.0,150.0,2.0,866.0,11.0,18.0,4.0,0.0,33.0,12.0,7.0,2.0,0.0,21.0,1.0,4.0,5.0,0.0,10.0,3.0,1.0,7.0,0.0,11.0,8.0,20.0,7.0,0.0,35.0,130.0,423.0,292.0,4.0,849.0,3.0,7.0,2.0,0.0,12.0,3045.0
Floyd,Mt Alto South,3923.0,4.0,0.0,1.0,0.0,5.0,2.0,5.0,5.0,0.0,12.0,106.0,297.0,111.0,0.0,514.0,5.0,1.0,2.0,0.0,8.0,6.0,10.0,4.0,0.0,20.0,5.0,7.0,0.0,0.0,12.0,7.0,11.0,2.0,0.0,20.0,39.0,63.0,20.0,0.0,122.0,15.0,22.0,9.0,0.0,46.0,5.0,4.0,3.0,0.0,12.0,18.0,21.0,3.0,0.0,42.0,25.0,40.0,12.0,0.0,77.0,144.0,453.0,126.0,6.0,729.0,3.0,7.0,2.0,0.0,12.0,3.0,15.0,6.0,0.0,24.0,4.0,2.0,2.0,0.0,8.0,1.0,1.0,0.0,0.0,2.0,10.0,12.0,0.0,0.0,22.0,142.0,322.0,235.0,2.0,701.0,1.0,3.0,8.0,0.0,12.0,2400.0
Floyd,North Carolina,1865.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,92.0,192.0,59.0,2.0,345.0,2.0,1.0,0.0,0.0,3.0,3.0,18.0,2.0,1.0,24.0,0.0,3.0,0.0,0.0,3.0,9.0,8.0,1.0,0.0,18.0,8.0,7.0,6.0,0.0,21.0,2.0,6.0,1.0,0.0,9.0,7.0,9.0,0.0,0.0,16.0,1.0,1.0,5.0,0.0,7.0,7.0,8.0,4.0,0.0,19.0,146.0,279.0,65.0,0.0,490.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,6.0,8.0,1.0,0.0,15.0,19.0,73.0,46.0,2.0,140.0,0.0,3.0,0.0,0.0,3.0,1129.0
Floyd,Riverside,826.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,52.0,73.0,13.0,0.0,138.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,0.0,9.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,4.0,3.0,6.0,2.0,0.0,11.0,0.0,3.0,1.0,0.0,4.0,2.0,4.0,1.0,0.0,7.0,1.0,3.0,0.0,0.0,4.0,4.0,8.0,3.0,0.0,15.0,80.0,103.0,26.0,5.0,214.0,1.0,3.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,9.0,32.0,32.0,22.0,0.0,86.0,0.0,1.0,0.0,0.0,1.0,518.0
Floyd,East Rome,4238.0,2.0,4.0,2.0,0.0,8.0,3.0,5.0,3.0,0.0,11.0,99.0,231.0,104.0,2.0,436.0,7.0,4.0,7.0,0.0,18.0,1.0,13.0,6.0,0.0,20.0,2.0,5.0,1.0,0.0,8.0,11.0,14.0,7.0,0.0,32.0,16.0,75.0,27.0,0.0,118.0,5.0,17.0,19.0,0.0,41.0,6.0,6.0,2.0,0.0,14.0,13.0,25.0,9.0,0.0,47.0,12.0,44.0,19.0,2.0,77.0,129.0,379.0,133.0,2.0,643.0,3.0,5.0,1.0,0.0,9.0,6.0,16.0,4.0,0.0,26.0,1.0,5.0,1.0,0.0,7.0,3.0,6.0,0.0,0.0,9.0,9.0,11.0,3.0,0.0,23.0,124.0,373.0,282.0,0.0,779.0,3.0,6.0,2.0,0.0,11.0,2337.0
