County,Precinct,Registered Voters,Fani Willis (Dem)_Election Day Votes,Fani Willis (Dem)_Advanced Voting Votes,Fani Willis (Dem)_Absentee by Mail Votes,Fani Willis (Dem)_Provisional Votes,Fani Willis (Dem)_Choice Total,Total Votes
Fulton,11P,2095.0,131.0,543.0,383.0,13.0,1070.0,1070.0
Fulton,11R,2253.0,120.0,456.0,232.0,6.0,814.0,814.0
Fulton,12A,4971.0,287.0,1628.0,744.0,20.0,2679.0,2679.0
Fulton,12A1,690.0,42.0,305.0,20.0,8.0,375.0,375.0
Fulton,12D,1408.0,105.0,354.0,137.0,2.0,598.0,598.0
Fulton,12E1,1906.0,119.0,297.0,231.0,3.0,650.0,650.0
Fulton,12F,1229.0,115.0,297.0,91.0,1.0,504.0,504.0
Fulton,12G,885.0,56.0,181.0,183.0,1.0,421.0,421.0
Fulton,12H1,1170.0,99.0,172.0,73.0,12.0,356.0,356.0
Fulton,12H2,2998.0,275.0,696.0,383.0,6.0,1360.0,1360.0
Fulton,12I,1079.0,55.0,229.0,148.0,41.0,473.0,473.0
Fulton,12J,3154.0,257.0,706.0,332.0,29.0,1324.0,1324.0
Fulton,12K,3620.0,203.0,942.0,355.0,10.0,1510.0,1510.0
Fulton,12L,774.0,55.0,138.0,69.0,3.0,265.0,265.0
Fulton,12M,2990.0,361.0,640.0,308.0,20.0,1329.0,1329.0
Fulton,12N,1134.0,92.0,220.0,82.0,11.0,405.0,405.0
Fulton,12S,2079.0,166.0,566.0,244.0,14.0,990.0,990.0
Fulton,AP01A,5236.0,216.0,1822.0,921.0,3.0,2962.0,2962.0
Fulton,AP01B,1281.0,55.0,397.0,184.0,6.0,642.0,642.0
Fulton,AP01C,2409.0,99.0,862.0,391.0,7.0,1359.0,1359.0
Fulton,AP01D,1015.0,50.0,300.0,160.0,0.0,510.0,510.0
Fulton,AP021,3408.0,205.0,1175.0,419.0,3.0,1802.0,1802.0
Fulton,AP022,2507.0,136.0,717.0,440.0,0.0,1293.0,1293.0
Fulton,AP02B,677.0,23.0,157.0,148.0,5.0,333.0,333.0
Fulton,AP03,775.0,88.0,213.0,65.0,5.0,371.0,371.0
Fulton,AP04A,1760.0,89.0,584.0,307.0,8.0,988.0,988.0
Fulton,AP04B,473.0,31.0,188.0,60.0,4.0,283.0,283.0
Fulton,AP05,4776.0,215.0,1566.0,819.0,9.0,2609.0,2609.0
Fulton,AP06,1967.0,90.0,675.0,291.0,10.0,1066.0,1066.0
Fulton,AP07A,3910.0,208.0,1199.0,569.0,21.0,1997.0,1997.0
Fulton,AP07B,1882.0,69.0,661.0,292.0,10.0,1032.0,1032.0
Fulton,AP09A,4437.0,244.0,1493.0,752.0,6.0,2495.0,2495.0
Fulton,AP09B,925.0,44.0,318.0,184.0,2.0,548.0,548.0
Fulton,AP10,992.0,44.0,331.0,136.0,28.0,539.0,539.0
Fulton,AP12A,746.0,58.0,235.0,98.0,17.0,408.0,408.0
Fulton,AP12B,947.0,67.0,258.0,139.0,4.0,468.0,468.0
Fulton,AP12C,2367.0,110.0,742.0,267.0,12.0,1131.0,1131.0
Fulton,AP14,3232.0,121.0,1178.0,638.0,4.0,1941.0,1941.0
Fulton,CH01,376.0,13.0,114.0,46.0,4.0,177.0,177.0
Fulton,CH02,338.0,31.0,77.0,45.0,0.0,153.0,153.0
Fulton,CH03,410.0,29.0,94.0,34.0,0.0,157.0,157.0
Fulton,CH04A,825.0,38.0,285.0,104.0,0.0,427.0,427.0
Fulton,CH05,429.0,30.0,85.0,47.0,0.0,162.0,162.0
Fulton,CP011,1353.0,93.0,417.0,159.0,7.0,676.0,676.0
Fulton,CP012,1469.0,85.0,531.0,208.0,6.0,830.0,830.0
Fulton,CP01B,422.0,20.0,146.0,49.0,0.0,215.0,215.0
Fulton,CP02,1208.0,77.0,360.0,161.0,1.0,599.0,599.0
Fulton,CP04A,13.0,0.0,3.0,0.0,0.0,3.0,3.0
Fulton,CP04B,38.0,2.0,6.0,9.0,0.0,17.0,17.0
Fulton,CP051,1756.0,148.0,534.0,250.0,0.0,932.0,932.0
Fulton,CP05B,153.0,20.0,39.0,9.0,4.0,72.0,72.0
Fulton,CP06A,732.0,51.0,127.0,38.0,1.0,217.0,217.0
Fulton,CP07B,7.0,2.0,2.0,0.0,0.0,4.0,4.0
Fulton,CP07C,323.0,18.0,46.0,10.0,0.0,74.0,74.0
Fulton,CP07D,790.0,64.0,130.0,36.0,0.0,230.0,230.0
Fulton,CP07E,127.0,19.0,19.0,3.0,0.0,41.0,41.0
Fulton,CP07F,266.0,22.0,35.0,6.0,0.0,63.0,63.0
Fulton,CP081,373.0,34.0,51.0,15.0,2.0,102.0,102.0
Fulton,CP083,240.0,12.0,19.0,3.0,0.0,34.0,34.0
Fulton,CP084,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fulton,CP08A,756.0,61.0,86.0,26.0,0.0,173.0,173.0
Fulton,EP01A,2978.0,191.0,974.0,341.0,14.0,1520.0,1520.0
Fulton,EP01B,3473.0,216.0,949.0,447.0,9.0,1621.0,1621.0
Fulton,EP02A,2407.0,160.0,545.0,308.0,19.0,1032.0,1032.0
Fulton,EP02B,1679.0,92.0,643.0,293.0,1.0,1029.0,1029.0
Fulton,EP02C,522.0,17.0,194.0,64.0,0.0,275.0,275.0
Fulton,EP02D,420.0,31.0,159.0,48.0,0.0,238.0,238.0
Fulton,EP02E,1668.0,105.0,440.0,157.0,0.0,702.0,702.0
Fulton,EP03A,4925.0,319.0,1563.0,802.0,6.0,2690.0,2690.0
Fulton,EP03B,1547.0,79.0,598.0,339.0,6.0,1022.0,1022.0
Fulton,EP04A,5020.0,465.0,1328.0,659.0,32.0,2484.0,2484.0
Fulton,EP04B,2624.0,148.0,1064.0,274.0,7.0,1493.0,1493.0
Fulton,EP04C,1318.0,0.0,398.0,38.0,3.0,439.0,439.0
Fulton,FA01A,4032.0,239.0,1457.0,608.0,15.0,2319.0,2319.0
Fulton,FA01B,5860.0,28.0,2307.0,854.0,8.0,3197.0,3197.0
Fulton,FA01C,769.0,63.0,290.0,104.0,1.0,458.0,458.0
Fulton,FA01D,321.0,19.0,123.0,8.0,13.0,163.0,163.0
Fulton,FC01,325.0,21.0,130.0,25.0,2.0,178.0,178.0
Fulton,FC02,585.0,13.0,28.0,8.0,2.0,51.0,51.0
Fulton,FC03,17.0,1.0,8.0,0.0,7.0,16.0,16.0
Fulton,HP01,3824.0,336.0,1007.0,468.0,5.0,1816.0,1816.0
Fulton,JC01,4128.0,226.0,1449.0,1041.0,7.0,2723.0,2723.0
Fulton,JC01A,1738.0,133.0,552.0,123.0,5.0,813.0,813.0
Fulton,JC02,3001.0,162.0,888.0,588.0,6.0,1644.0,1644.0
Fulton,JC03A,594.0,25.0,255.0,74.0,0.0,354.0,354.0
Fulton,JC03B,1616.0,113.0,571.0,281.0,0.0,965.0,965.0
Fulton,JC04A,3177.0,96.0,1242.0,595.0,13.0,1946.0,1946.0
Fulton,JC04B,334.0,9.0,112.0,52.0,0.0,173.0,173.0
Fulton,JC04C,1251.0,44.0,478.0,248.0,0.0,770.0,770.0
Fulton,JC05,2350.0,123.0,863.0,356.0,4.0,1346.0,1346.0
Fulton,JC06,2840.0,191.0,770.0,454.0,4.0,1419.0,1419.0
Fulton,JC07,4670.0,169.0,1561.0,920.0,23.0,2673.0,2673.0
Fulton,JC08,2931.0,131.0,1066.0,502.0,5.0,1704.0,1704.0
Fulton,JC09,3250.0,184.0,1103.0,542.0,3.0,1832.0,1832.0
Fulton,JC10,2641.0,138.0,890.0,490.0,12.0,1530.0,1530.0
Fulton,JC11,3497.0,208.0,1106.0,526.0,0.0,1840.0,1840.0
Fulton,JC12,2832.0,73.0,841.0,488.0,5.0,1407.0,1407.0
Fulton,JC13A,2317.0,86.0,716.0,337.0,1.0,1140.0,1140.0
Fulton,JC13B,282.0,4.0,98.0,36.0,1.0,139.0,139.0
Fulton,JC14,2608.0,95.0,960.0,391.0,2.0,1448.0,1448.0
Fulton,JC15,959.0,53.0,355.0,139.0,0.0,547.0,547.0
Fulton,JC16,2707.0,127.0,981.0,417.0,1.0,1526.0,1526.0
Fulton,JC18,2857.0,106.0,1006.0,452.0,3.0,1567.0,1567.0
Fulton,JC19,4174.0,154.0,1425.0,706.0,12.0,2297.0,2297.0
Fulton,ML01A,2795.0,142.0,1068.0,378.0,24.0,1612.0,1612.0
Fulton,ML01B,708.0,35.0,229.0,100.0,0.0,364.0,364.0
Fulton,ML02A,2580.0,172.0,711.0,336.0,1.0,1220.0,1220.0
Fulton,ML02B,1914.0,105.0,588.0,244.0,1.0,938.0,938.0
Fulton,ML03,3718.0,220.0,1143.0,500.0,6.0,1869.0,1869.0
Fulton,ML03A,301.0,13.0,95.0,13.0,0.0,121.0,121.0
Fulton,ML04,3322.0,169.0,1050.0,428.0,21.0,1668.0,1668.0
Fulton,ML05,4843.0,266.0,1530.0,753.0,11.0,2560.0,2560.0
Fulton,ML06A,2181.0,154.0,706.0,258.0,7.0,1125.0,1125.0
Fulton,ML06B,3119.0,189.0,1042.0,509.0,4.0,1744.0,1744.0
Fulton,ML07A,836.0,86.0,225.0,111.0,0.0,422.0,422.0
Fulton,ML07B,1675.0,153.0,438.0,221.0,1.0,813.0,813.0
Fulton,MP01,472.0,148.0,46.0,62.0,5.0,261.0,261.0
Fulton,PA01,3006.0,204.0,941.0,369.0,15.0,1529.0,1529.0
Fulton,RW01,5010.0,177.0,1583.0,1007.0,11.0,2778.0,2778.0
Fulton,RW02,4061.0,219.0,1322.0,764.0,11.0,2316.0,2316.0
Fulton,RW03,5041.0,342.0,1468.0,758.0,9.0,2577.0,2577.0
Fulton,RW04,1861.0,61.0,671.0,371.0,1.0,1104.0,1104.0
Fulton,RW05,2910.0,241.0,832.0,404.0,10.0,1487.0,1487.0
Fulton,RW06,3071.0,164.0,1073.0,475.0,7.0,1719.0,1719.0
Fulton,RW07A,1773.0,217.0,451.0,155.0,2.0,825.0,825.0
Fulton,RW07B,449.0,57.0,99.0,64.0,14.0,234.0,234.0
Fulton,RW08,2429.0,130.0,615.0,425.0,6.0,1176.0,1176.0
Fulton,RW09,4450.0,222.0,1323.0,938.0,3.0,2486.0,2486.0
Fulton,RW09A,1892.0,100.0,590.0,105.0,2.0,797.0,797.0
Fulton,RW10,3653.0,150.0,1221.0,660.0,9.0,2040.0,2040.0
Fulton,RW11A,2865.0,187.0,827.0,512.0,8.0,1534.0,1534.0
Fulton,RW12,3899.0,241.0,1270.0,929.0,4.0,2444.0,2444.0
Fulton,RW12A,2458.0,134.0,784.0,128.0,2.0,1048.0,1048.0
Fulton,RW13,3764.0,239.0,1338.0,555.0,6.0,2138.0,2138.0
Fulton,RW16,2101.0,102.0,738.0,326.0,4.0,1170.0,1170.0
Fulton,RW17,3100.0,230.0,1009.0,439.0,4.0,1682.0,1682.0
Fulton,RW19,2147.0,111.0,729.0,343.0,1.0,1184.0,1184.0
Fulton,RW20,2701.0,84.0,1010.0,419.0,6.0,1519.0,1519.0
Fulton,RW21,3362.0,122.0,1113.0,514.0,14.0,1763.0,1763.0
Fulton,RW22A,4788.0,275.0,1657.0,583.0,11.0,2526.0,2526.0
Fulton,SC01A,41.0,2.0,38.0,7.0,0.0,47.0,47.0
Fulton,SC01B,2088.0,124.0,1127.0,297.0,16.0,1564.0,1564.0
Fulton,SC01C,2249.0,84.0,1049.0,452.0,10.0,1595.0,1595.0
Fulton,SC02,1426.0,42.0,705.0,254.0,3.0,1004.0,1004.0
Fulton,SC04,1080.0,82.0,349.0,158.0,5.0,594.0,594.0
Fulton,SC05A,721.0,56.0,317.0,85.0,4.0,462.0,462.0
Fulton,SC05B,3646.0,183.0,1764.0,498.0,7.0,2452.0,2452.0
Fulton,SC05D,2808.0,186.0,1302.0,354.0,2.0,1844.0,1844.0
Fulton,SC05E,688.0,44.0,257.0,130.0,3.0,434.0,434.0
Fulton,SC07A,4506.0,250.0,1881.0,1007.0,10.0,3148.0,3148.0
Fulton,SC07C,41.0,1.0,9.0,3.0,0.0,13.0,13.0
Fulton,SC07D,2038.0,136.0,861.0,85.0,4.0,1086.0,1086.0
Fulton,SC08B,4096.0,278.0,1534.0,644.0,13.0,2469.0,2469.0
Fulton,SC08C,91.0,6.0,45.0,17.0,0.0,68.0,68.0
Fulton,SC08D,605.0,40.0,231.0,78.0,0.0,349.0,349.0
Fulton,SC08E,724.0,57.0,305.0,63.0,4.0,429.0,429.0
Fulton,SC08F,793.0,43.0,284.0,97.0,1.0,425.0,425.0
Fulton,SC08G,14.0,0.0,3.0,0.0,0.0,3.0,3.0
Fulton,SC08H,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fulton,SC09A,1865.0,177.0,540.0,233.0,11.0,961.0,961.0
Fulton,SC09B,1920.0,127.0,717.0,356.0,2.0,1202.0,1202.0
Fulton,SC09C,1852.0,182.0,536.0,293.0,2.0,1013.0,1013.0
Fulton,SC10,1912.0,157.0,428.0,187.0,8.0,780.0,780.0
Fulton,SC11A,1656.0,147.0,537.0,264.0,24.0,972.0,972.0
Fulton,SC11B,1691.0,116.0,553.0,307.0,6.0,982.0,982.0
Fulton,SC13,2895.0,168.0,1341.0,413.0,6.0,1928.0,1928.0
Fulton,SC14A,1030.0,64.0,327.0,98.0,0.0,489.0,489.0
Fulton,SC15,4522.0,277.0,2010.0,821.0,6.0,3114.0,3114.0
Fulton,SC15A,2482.0,135.0,1304.0,103.0,0.0,1542.0,1542.0
Fulton,SC16A,5175.0,288.0,2460.0,846.0,0.0,3594.0,3594.0
Fulton,SC17A,60.0,1.0,32.0,10.0,0.0,43.0,43.0
Fulton,SC17B,10.0,0.0,1.0,0.0,3.0,4.0,4.0
Fulton,SC17C,1293.0,76.0,498.0,182.0,0.0,756.0,756.0
Fulton,SC18A,570.0,41.0,221.0,120.0,0.0,382.0,382.0
Fulton,SC18B,915.0,39.0,459.0,156.0,0.0,654.0,654.0
Fulton,SC18C,2100.0,82.0,1010.0,401.0,0.0,1493.0,1493.0
Fulton,SC19A,213.0,6.0,86.0,45.0,1.0,138.0,138.0
Fulton,SC19B,1628.0,137.0,428.0,213.0,10.0,788.0,788.0
Fulton,SC20,2562.0,105.0,1468.0,359.0,26.0,1958.0,1958.0
Fulton,SC211,1828.0,102.0,832.0,292.0,0.0,1226.0,1226.0
Fulton,SC212,4244.0,265.0,1736.0,604.0,10.0,2615.0,2615.0
Fulton,SC23A,3854.0,342.0,1130.0,643.0,10.0,2125.0,2125.0
Fulton,SC23B,558.0,56.0,169.0,110.0,1.0,336.0,336.0
Fulton,SC23C,2606.0,213.0,891.0,395.0,2.0,1501.0,1501.0
Fulton,SC27,2361.0,152.0,733.0,461.0,0.0,1346.0,1346.0
Fulton,SC29A,3154.0,276.0,945.0,540.0,8.0,1769.0,1769.0
Fulton,SC30A,157.0,5.0,45.0,57.0,5.0,112.0,112.0
Fulton,SC30B,1110.0,60.0,364.0,146.0,0.0,570.0,570.0
Fulton,SS01,4846.0,159.0,1436.0,911.0,5.0,2511.0,2511.0
Fulton,SS02A,1206.0,48.0,417.0,236.0,5.0,706.0,706.0
Fulton,SS02B,1318.0,64.0,473.0,210.0,5.0,752.0,752.0
Fulton,SS03,1577.0,91.0,581.0,269.0,2.0,943.0,943.0
Fulton,SS04,3763.0,217.0,1298.0,638.0,16.0,2169.0,2169.0
Fulton,SS05,1853.0,89.0,664.0,372.0,3.0,1128.0,1128.0
Fulton,SS06,1667.0,60.0,575.0,317.0,47.0,999.0,999.0
Fulton,SS07A,1254.0,37.0,405.0,246.0,0.0,688.0,688.0
Fulton,SS07B,793.0,45.0,265.0,141.0,1.0,452.0,452.0
Fulton,SS07C,809.0,24.0,170.0,166.0,13.0,373.0,373.0
Fulton,SS08A,1891.0,140.0,666.0,244.0,11.0,1061.0,1061.0
Fulton,SS08B,696.0,25.0,242.0,147.0,0.0,414.0,414.0
Fulton,SS08C,716.0,34.0,239.0,141.0,0.0,414.0,414.0
Fulton,SS08D,1555.0,82.0,510.0,243.0,0.0,835.0,835.0
Fulton,SS09A,3193.0,144.0,940.0,686.0,0.0,1770.0,1770.0
