County,Precinct,Registered Voters,Jody Hice (I) (Rep)_Election Day Votes,Jody Hice (I) (Rep)_Advanced Voting Votes,Jody Hice (I) (Rep)_Absentee by Mail Votes,Jody Hice (I) (Rep)_Provisional Votes,Jody Hice (I) (Rep)_Choice Total,Tabitha Johnson-Green (Dem)_Election Day Votes,Tabitha Johnson-Green (Dem)_Advanced Voting Votes,Tabitha Johnson-Green (Dem)_Absentee by Mail Votes,Tabitha Johnson-Green (Dem)_Provisional Votes,Tabitha Johnson-Green (Dem)_Choice Total,Total Votes
Washington,Oconee,581.0,121.0,74.0,27.0,0.0,222.0,51.0,58.0,76.0,1.0,186.0,408.0
Washington,Harrison,1005.0,207.0,214.0,54.0,2.0,477.0,88.0,64.0,91.0,0.0,243.0,720.0
Washington,Davisboro,814.0,138.0,153.0,48.0,0.0,339.0,100.0,61.0,84.0,0.0,245.0,584.0
Washington,Sandersville,6221.0,294.0,1241.0,375.0,1.0,1911.0,414.0,1018.0,964.0,0.0,2396.0,4307.0
Washington,Deepstep,554.0,191.0,81.0,27.0,1.0,300.0,22.0,30.0,54.0,0.0,106.0,406.0
Baldwin,South Milledgeville,1259.0,39.0,120.0,31.0,0.0,190.0,94.0,285.0,189.0,0.0,568.0,758.0
Baldwin,City Hall Annex,957.0,42.0,81.0,39.0,0.0,162.0,61.0,138.0,107.0,1.0,307.0,469.0
Baldwin,Boddie,1381.0,38.0,77.0,22.0,0.0,137.0,134.0,234.0,165.0,0.0,533.0,670.0
Baldwin,Courthouse,506.0,29.0,72.0,13.0,0.0,114.0,29.0,69.0,62.0,0.0,160.0,274.0
Baldwin,Fire Dept,1481.0,41.0,141.0,36.0,0.0,218.0,91.0,344.0,250.0,0.0,685.0,903.0
Baldwin,North Milledgeville,2211.0,141.0,539.0,169.0,1.0,850.0,128.0,439.0,225.0,0.0,792.0,1642.0
Baldwin,Meriweather,2832.0,264.0,908.0,231.0,0.0,1403.0,107.0,449.0,215.0,0.0,771.0,2174.0
Baldwin,East Baldwin,3826.0,277.0,1071.0,226.0,0.0,1574.0,176.0,620.0,323.0,0.0,1119.0,2693.0
Baldwin,Scottsboro,1101.0,130.0,229.0,50.0,3.0,412.0,58.0,119.0,93.0,0.0,270.0,682.0
Baldwin,North Baldwin,3515.0,317.0,1372.0,267.0,0.0,1956.0,79.0,373.0,273.0,0.0,725.0,2681.0
Baldwin,West Baldwin,1862.0,177.0,474.0,108.0,0.0,759.0,92.0,275.0,190.0,0.0,557.0,1316.0
Baldwin,East Hardwick,1313.0,48.0,64.0,29.0,0.0,141.0,117.0,206.0,174.0,0.0,497.0,638.0
Baldwin,West Hardwick,2903.0,69.0,269.0,75.0,0.0,413.0,251.0,613.0,486.0,0.0,1350.0,1763.0
Baldwin,Coopers,1574.0,268.0,429.0,75.0,0.0,772.0,61.0,134.0,104.0,0.0,299.0,1071.0
Jefferson,Stapleton Crossroads,441.0,68.0,100.0,18.0,1.0,187.0,31.0,35.0,49.0,1.0,116.0,303.0
Jefferson,Matthews,621.0,180.0,90.0,40.0,1.0,311.0,38.0,56.0,37.0,0.0,131.0,442.0
Jefferson,Wrens,2870.0,256.0,498.0,117.0,0.0,871.0,297.0,365.0,304.0,3.0,969.0,1840.0
Jefferson,Louisville,3899.0,114.0,798.0,153.0,1.0,1066.0,257.0,752.0,430.0,4.0,1443.0,2509.0
Jefferson,Wadley,1906.0,78.0,235.0,48.0,0.0,361.0,237.0,277.0,299.0,0.0,813.0,1174.0
Jefferson,Bartow,531.0,73.0,86.0,22.0,0.0,181.0,55.0,65.0,36.0,0.0,156.0,337.0
Jefferson,Stapleton,678.0,154.0,87.0,33.0,0.0,274.0,74.0,54.0,38.0,0.0,166.0,440.0
Jefferson,Avera,388.0,150.0,56.0,23.0,1.0,230.0,19.0,10.0,11.0,0.0,40.0,270.0
Newton,Alcovy,4620.0,75.0,119.0,64.0,0.0,258.0,13.0,21.0,33.0,0.0,67.0,325.0
Newton,Brewers,3538.0,1087.0,476.0,278.0,1.0,1842.0,210.0,210.0,233.0,1.0,654.0,2496.0
Newton,Brick Store,2623.0,757.0,431.0,287.0,0.0,1475.0,141.0,188.0,198.0,0.0,527.0,2002.0
Newton,Leguinn,2177.0,718.0,295.0,213.0,0.0,1226.0,120.0,113.0,158.0,0.0,391.0,1617.0
Newton,Mansfield,1524.0,775.0,167.0,132.0,0.0,1074.0,49.0,20.0,62.0,0.0,131.0,1205.0
Newton,Newborn,784.0,390.0,62.0,55.0,0.0,507.0,48.0,12.0,39.0,0.0,99.0,606.0
Newton,Rocky Plains,3658.0,492.0,449.0,207.0,0.0,1148.0,235.0,373.0,290.0,1.0,899.0,2047.0
Newton,Hub,2374.0,867.0,422.0,311.0,0.0,1600.0,84.0,116.0,102.0,0.0,302.0,1902.0
Barrow,01 Bethlehem Community Center 3359,3359.0,492.0,996.0,241.0,0.0,1729.0,106.0,256.0,169.0,0.0,531.0,2260.0
Barrow,02 Bethlehem Church - 211,6784.0,753.0,2560.0,722.0,0.0,4035.0,128.0,400.0,351.0,1.0,880.0,4915.0
Barrow,03 Hmong New Hope Alliance Church 6364,6364.0,894.0,1702.0,497.0,1.0,3094.0,178.0,402.0,335.0,0.0,915.0,4009.0
Barrow,04 Covenant Life Sanctuary,4012.0,439.0,1173.0,288.0,0.0,1900.0,113.0,280.0,202.0,0.0,595.0,2495.0
Barrow,05 Fire Station 1 (Statham),8336.0,945.0,2668.0,643.0,0.0,4256.0,248.0,783.0,599.0,0.0,1630.0,5886.0
Barrow,08 First Baptist Church Winder7009,7009.0,716.0,2515.0,576.0,0.0,3807.0,165.0,524.0,344.0,0.0,1033.0,4840.0
Barrow,13 Winder Community Center,9393.0,692.0,2394.0,609.0,0.0,3695.0,333.0,1033.0,586.0,0.0,1952.0,5647.0
Barrow,16 The Church at Winder,10348.0,986.0,2793.0,669.0,1.0,4449.0,383.0,1230.0,784.0,3.0,2400.0,6849.0
Oconee,City Hall,3910.0,259.0,1384.0,356.0,0.0,1999.0,93.0,720.0,372.0,0.0,1185.0,3184.0
Oconee,Colham Ferry,1847.0,187.0,775.0,189.0,0.0,1151.0,29.0,244.0,159.0,0.0,432.0,1583.0
Oconee,Antioch,1397.0,219.0,533.0,137.0,0.0,889.0,37.0,112.0,102.0,0.0,251.0,1140.0
Oconee,Farmington,737.0,144.0,240.0,49.0,0.0,433.0,19.0,78.0,59.0,0.0,156.0,589.0
Oconee,Bishop,1938.0,206.0,785.0,158.0,1.0,1150.0,53.0,236.0,168.0,1.0,458.0,1608.0
Oconee,High Shoals,1939.0,206.0,868.0,177.0,0.0,1251.0,40.0,246.0,118.0,0.0,404.0,1655.0
Oconee,North Oconee,1244.0,167.0,527.0,126.0,0.0,820.0,22.0,134.0,79.0,0.0,235.0,1055.0
Oconee,Dark Corner,3541.0,435.0,1637.0,345.0,0.0,2417.0,50.0,323.0,192.0,1.0,566.0,2983.0
Oconee,Bogart,2384.0,300.0,833.0,225.0,0.0,1358.0,81.0,260.0,169.0,0.0,510.0,1868.0
Oconee,Marswood Hall,4091.0,277.0,1578.0,564.0,1.0,2420.0,66.0,512.0,459.0,0.0,1037.0,3457.0
Oconee,East Oconee,2647.0,121.0,953.0,245.0,0.0,1319.0,65.0,396.0,313.0,0.0,774.0,2093.0
Oconee,Civic Center,4396.0,289.0,1670.0,478.0,0.0,2437.0,80.0,650.0,453.0,0.0,1183.0,3620.0
Henry,Tussahaw,3409.0,555.0,1290.0,257.0,0.0,2102.0,68.0,201.0,148.0,0.0,417.0,2519.0
Henry,Sandy Ridge,4875.0,627.0,1782.0,273.0,1.0,2683.0,133.0,495.0,261.0,0.0,889.0,3572.0
Henry,McDonough,2838.0,92.0,322.0,104.0,0.0,518.0,176.0,841.0,418.0,0.0,1435.0,1953.0
Henry,McMullen,3719.0,484.0,1225.0,241.0,0.0,1950.0,120.0,526.0,274.0,0.0,920.0,2870.0
Henry,East Lake,3389.0,249.0,1304.0,329.0,0.0,1882.0,89.0,471.0,239.0,0.0,799.0,2681.0
Henry,Unity Grove,4850.0,249.0,1013.0,135.0,0.0,1397.0,29.0,151.0,84.0,0.0,264.0,1661.0
Henry,Shiloh,4077.0,112.0,469.0,127.0,0.0,708.0,307.0,1053.0,500.0,1.0,1861.0,2569.0
Henry,Lake Dow,5049.0,402.0,1430.0,423.0,0.0,2255.0,166.0,877.0,469.0,0.0,1512.0,3767.0
Henry,Kelleytown,3452.0,337.0,1085.0,229.0,0.0,1651.0,117.0,677.0,295.0,0.0,1089.0,2740.0
Henry,Mt Bethel,3535.0,643.0,1074.0,165.0,0.0,1882.0,147.0,385.0,210.0,0.0,742.0,2624.0
Henry,Timberridge,2096.0,248.0,587.0,150.0,2.0,987.0,74.0,394.0,184.0,0.0,652.0,1639.0
Columbia,Kiokee Baptist Church,2541.0,172.0,342.0,71.0,0.0,585.0,10.0,31.0,16.0,0.0,57.0,642.0
Columbia,Harlem Branch Library,2642.0,126.0,348.0,67.0,2.0,543.0,25.0,67.0,26.0,0.0,118.0,661.0
Columbia,Harlem Senior Center,1819.0,205.0,247.0,43.0,0.0,495.0,62.0,117.0,87.0,0.0,266.0,761.0
Columbia,Second Mt Moriah Baptist Church1027,1027.0,162.0,402.0,72.0,1.0,637.0,22.0,69.0,48.0,0.0,139.0,776.0
Columbia,Bessie Thomas Center,799.0,111.0,366.0,59.0,2.0,538.0,7.0,44.0,23.0,0.0,74.0,612.0
Columbia,Eubank-Blanchard Center,1576.0,378.0,496.0,76.0,1.0,951.0,72.0,99.0,80.0,0.0,251.0,1202.0
Columbia,Second Mt Carmel Baptist Church731,731.0,107.0,139.0,24.0,0.0,270.0,117.0,73.0,80.0,0.0,270.0,540.0
Columbia,Damascus Baptist Church,1023.0,357.0,304.0,74.0,1.0,736.0,28.0,31.0,23.0,0.0,82.0,818.0
Columbia,Greenbrier High,3369.0,510.0,1222.0,236.0,3.0,1971.0,84.0,350.0,260.0,1.0,695.0,2666.0
Columbia,Grace Baptist Church,3558.0,422.0,1012.0,179.0,0.0,1613.0,121.0,623.0,337.0,0.0,1081.0,2694.0
Walton,Bold Springs,4653.0,687.0,1780.0,553.0,0.0,3020.0,112.0,306.0,259.0,0.0,677.0,3697.0
Walton,Whatley,1254.0,241.0,501.0,135.0,0.0,877.0,23.0,50.0,46.0,0.0,119.0,996.0
Walton,Walker Park,3858.0,524.0,1436.0,406.0,0.0,2366.0,93.0,197.0,171.0,0.0,461.0,2827.0
Walton,Gratis,1243.0,328.0,444.0,136.0,0.0,908.0,19.0,35.0,56.0,0.0,110.0,1018.0
Walton,Between,4925.0,319.0,2111.0,498.0,0.0,2928.0,53.0,358.0,253.0,0.0,664.0,3592.0
Walton,Walnut Grove,2661.0,497.0,925.0,206.0,0.0,1628.0,36.0,138.0,101.0,0.0,275.0,1903.0
Walton,Loganville North,5225.0,499.0,1573.0,489.0,0.0,2561.0,145.0,507.0,309.0,0.0,961.0,3522.0
Walton,Social Circle,4604.0,723.0,1283.0,341.0,0.0,2347.0,210.0,374.0,310.0,0.0,894.0,3241.0
Walton,South Monroe,3910.0,268.0,1201.0,330.0,0.0,1799.0,100.0,406.0,213.0,0.0,719.0,2518.0
Walton,North Monroe,4818.0,301.0,784.0,242.0,0.0,1327.0,286.0,677.0,495.0,0.0,1458.0,2785.0
Walton,Loganville South,3768.0,332.0,1097.0,397.0,0.0,1826.0,160.0,383.0,244.0,0.0,787.0,2613.0
Walton,West Walton,4219.0,552.0,1590.0,448.0,0.0,2590.0,103.0,358.0,203.0,0.0,664.0,3254.0
Walton,Broken Arrow,4380.0,584.0,1662.0,399.0,0.0,2645.0,62.0,278.0,215.0,0.0,555.0,3200.0
Walton,Bay Creek,3401.0,349.0,1397.0,352.0,0.0,2098.0,57.0,235.0,170.0,0.0,462.0,2560.0
Walton,E Monroe,4119.0,341.0,815.0,222.0,0.0,1378.0,212.0,439.0,243.0,0.0,894.0,2272.0
Walton,W Monroe,2027.0,243.0,849.0,208.0,0.0,1300.0,43.0,151.0,93.0,0.0,287.0,1587.0
Walton,Tara,4050.0,279.0,1067.0,291.0,0.0,1637.0,163.0,810.0,367.0,0.0,1340.0,2977.0
Walton,Mountain,1657.0,275.0,588.0,158.0,0.0,1021.0,41.0,78.0,54.0,0.0,173.0,1194.0
Walton,Jersey,1970.0,657.0,590.0,172.0,0.0,1419.0,35.0,62.0,48.0,0.0,145.0,1564.0
Walton,Blasingame,1115.0,398.0,316.0,97.0,0.0,811.0,30.0,35.0,39.0,0.0,104.0,915.0
Walton,Good Hope,2149.0,633.0,643.0,165.0,0.0,1441.0,46.0,98.0,73.0,0.0,217.0,1658.0
Clarke,1B,3645.0,154.0,431.0,276.0,3.0,864.0,186.0,711.0,716.0,0.0,1613.0,2477.0
Clarke,1C,2242.0,161.0,290.0,175.0,0.0,626.0,129.0,512.0,551.0,0.0,1192.0,1818.0
Clarke,1D,2830.0,202.0,387.0,313.0,1.0,903.0,137.0,551.0,700.0,0.0,1388.0,2291.0
Clarke,2B,5136.0,121.0,161.0,67.0,1.0,350.0,416.0,1106.0,733.0,4.0,2259.0,2609.0
Clarke,3A,2938.0,52.0,100.0,47.0,1.0,200.0,252.0,569.0,436.0,4.0,1261.0,1461.0
Clarke,3B,4122.0,134.0,258.0,87.0,1.0,480.0,244.0,948.0,557.0,3.0,1752.0,2232.0
Clarke,4A,2072.0,81.0,200.0,83.0,0.0,364.0,170.0,448.0,324.0,1.0,943.0,1307.0
Clarke,4B,4096.0,234.0,468.0,167.0,1.0,870.0,240.0,973.0,618.0,1.0,1832.0,2702.0
Clarke,5A,3007.0,114.0,385.0,221.0,1.0,721.0,175.0,823.0,589.0,0.0,1587.0,2308.0
Clarke,5B,3030.0,139.0,284.0,212.0,1.0,636.0,236.0,631.0,618.0,0.0,1485.0,2121.0
Clarke,5C,2053.0,62.0,85.0,48.0,0.0,195.0,128.0,784.0,473.0,1.0,1386.0,1581.0
Clarke,6A,3780.0,221.0,658.0,376.0,1.0,1256.0,187.0,598.0,600.0,3.0,1388.0,2644.0
Clarke,6B,3865.0,186.0,471.0,344.0,0.0,1001.0,220.0,707.0,753.0,1.0,1681.0,2682.0
Clarke,6C,3129.0,214.0,482.0,296.0,0.0,992.0,148.0,542.0,573.0,0.0,1263.0,2255.0
Clarke,6D,1701.0,110.0,155.0,82.0,0.0,347.0,110.0,444.0,374.0,0.0,928.0,1275.0
Clarke,7A,2968.0,174.0,418.0,274.0,1.0,867.0,171.0,545.0,553.0,0.0,1269.0,2136.0
Clarke,7B,3166.0,141.0,469.0,252.0,0.0,862.0,146.0,588.0,578.0,2.0,1314.0,2176.0
Clarke,7C,2733.0,185.0,375.0,219.0,2.0,781.0,153.0,581.0,509.0,0.0,1243.0,2024.0
Clarke,8A,3319.0,133.0,278.0,233.0,0.0,644.0,189.0,633.0,669.0,2.0,1493.0,2137.0
Clarke,8B,2317.0,116.0,182.0,152.0,0.0,450.0,175.0,429.0,441.0,0.0,1045.0,1495.0
Clarke,8C,3910.0,177.0,352.0,198.0,1.0,728.0,270.0,782.0,704.0,3.0,1759.0,2487.0
Butts,Butts County Admin Bldg,17154.0,806.0,6367.0,1144.0,2.0,8319.0,368.0,1822.0,920.0,1.0,3111.0,11430.0
Taliaferro,Sharon,253.0,38.0,30.0,6.0,0.0,74.0,29.0,30.0,41.0,0.0,100.0,174.0
Taliaferro,Crawfordville,992.0,64.0,169.0,56.0,0.0,289.0,61.0,167.0,170.0,0.0,398.0,687.0
Putnam,101,3264.0,161.0,836.0,224.0,0.0,1221.0,138.0,452.0,365.0,0.0,955.0,2176.0
Putnam,104,3380.0,160.0,781.0,238.0,0.0,1179.0,135.0,532.0,441.0,0.0,1108.0,2287.0
Putnam,105,3734.0,412.0,1477.0,634.0,1.0,2524.0,53.0,174.0,247.0,0.0,474.0,2998.0
Putnam,106,1332.0,291.0,410.0,148.0,0.0,849.0,24.0,62.0,61.0,0.0,147.0,996.0
Putnam,107,4293.0,533.0,1484.0,603.0,0.0,2620.0,85.0,204.0,249.0,0.0,538.0,3158.0
Greene,Greensboro,3999.0,163.0,946.0,222.0,1.0,1332.0,191.0,745.0,491.0,5.0,1432.0,2764.0
Greene,Union Point,1873.0,140.0,368.0,108.0,0.0,616.0,149.0,276.0,212.0,0.0,637.0,1253.0
Greene,Siloam,991.0,63.0,222.0,54.0,0.0,339.0,101.0,133.0,118.0,0.0,352.0,691.0
Greene,White Plains,347.0,30.0,89.0,25.0,0.0,144.0,33.0,57.0,29.0,0.0,119.0,263.0
Greene,Old Salem,6961.0,474.0,3474.0,998.0,2.0,4948.0,67.0,567.0,501.0,2.0,1137.0,6085.0
Hancock,Devereux Fire Station,1006.0,86.0,232.0,88.0,0.0,406.0,72.0,132.0,159.0,1.0,364.0,770.0
Hancock,St Mark,576.0,11.0,45.0,9.0,0.0,65.0,80.0,131.0,84.0,0.0,295.0,360.0
Hancock,Courthouse,931.0,25.0,96.0,24.0,0.0,145.0,90.0,198.0,160.0,1.0,449.0,594.0
Hancock,Second Beulah,472.0,12.0,22.0,12.0,0.0,46.0,54.0,117.0,130.0,0.0,301.0,347.0
Hancock,Mayfield Community Center,356.0,17.0,14.0,8.0,0.0,39.0,51.0,45.0,85.0,0.0,181.0,220.0
Hancock,Power of God,731.0,14.0,56.0,26.0,0.0,96.0,97.0,136.0,128.0,1.0,362.0,458.0
Hancock,Warren Chapel,268.0,27.0,70.0,35.0,0.0,132.0,2.0,30.0,48.0,0.0,80.0,212.0
Hancock,Youth Center,975.0,24.0,64.0,27.0,0.0,115.0,92.0,204.0,222.0,0.0,518.0,633.0
Hancock,Second Darrien,364.0,40.0,30.0,23.0,0.0,93.0,43.0,48.0,95.0,0.0,186.0,279.0
Hancock,Sparta 4C,148.0,15.0,5.0,5.0,0.0,25.0,10.0,18.0,51.0,0.0,79.0,104.0
Glascock,Edgehill,136.0,50.0,45.0,11.0,0.0,106.0,0.0,8.0,2.0,0.0,10.0,116.0
Glascock,Gibson,677.0,101.0,259.0,61.0,0.0,421.0,15.0,15.0,17.0,0.0,47.0,468.0
Glascock,Mill,778.0,142.0,327.0,68.0,0.0,537.0,8.0,16.0,15.0,0.0,39.0,576.0
Glascock,Mitchell,448.0,99.0,133.0,57.0,0.0,289.0,14.0,16.0,18.0,0.0,48.0,337.0
McDuffie,131,1172.0,12.0,98.0,41.0,0.0,151.0,86.0,284.0,206.0,0.0,576.0,727.0
McDuffie,132,1507.0,109.0,784.0,156.0,0.0,1049.0,11.0,47.0,53.0,0.0,111.0,1160.0
McDuffie,133A,1278.0,103.0,397.0,79.0,0.0,579.0,40.0,121.0,91.0,0.0,252.0,831.0
McDuffie,133B,1959.0,200.0,744.0,131.0,0.0,1075.0,45.0,160.0,104.0,0.0,309.0,1384.0
McDuffie,134,1908.0,61.0,379.0,87.0,0.0,527.0,110.0,357.0,322.0,0.0,789.0,1316.0
McDuffie,135,3089.0,168.0,1058.0,237.0,0.0,1463.0,90.0,373.0,203.0,0.0,666.0,2129.0
McDuffie,136,1940.0,36.0,118.0,37.0,0.0,191.0,154.0,378.0,318.0,0.0,850.0,1041.0
McDuffie,137,1202.0,70.0,578.0,113.0,0.0,761.0,24.0,85.0,65.0,0.0,174.0,935.0
McDuffie,139,978.0,72.0,312.0,63.0,0.0,447.0,29.0,132.0,98.0,0.0,259.0,706.0
Morgan,Northeast Morgan,2919.0,106.0,738.0,135.0,0.0,979.0,149.0,617.0,353.0,1.0,1120.0,2099.0
Morgan,East Morgan,2228.0,424.0,878.0,146.0,2.0,1450.0,57.0,195.0,106.0,0.0,358.0,1808.0
Morgan,Beth/Springfield,862.0,148.0,335.0,75.0,0.0,558.0,23.0,45.0,61.0,0.0,129.0,687.0
Morgan,Central Morgan,2761.0,210.0,1146.0,227.0,0.0,1583.0,80.0,298.0,180.0,0.0,558.0,2141.0
Morgan,Clacks Chapel,709.0,135.0,333.0,43.0,0.0,511.0,10.0,42.0,31.0,0.0,83.0,594.0
Morgan,West Morgan,2655.0,416.0,1134.0,166.0,0.0,1716.0,75.0,202.0,100.0,0.0,377.0,2093.0
Morgan,North Morgan,2690.0,465.0,938.0,214.0,1.0,1618.0,68.0,241.0,126.0,1.0,436.0,2054.0
Oglethorpe,Beaverdam,3509.0,475.0,1055.0,314.0,0.0,1844.0,122.0,333.0,258.0,0.0,713.0,2557.0
Oglethorpe,Crawford,3044.0,266.0,947.0,262.0,0.0,1475.0,121.0,333.0,216.0,0.0,670.0,2145.0
Oglethorpe,Lexington,4291.0,311.0,1549.0,406.0,2.0,2268.0,151.0,442.0,341.0,1.0,935.0,3203.0
Warren,Warrenton,3785.0,189.0,765.0,212.0,0.0,1166.0,291.0,586.0,529.0,0.0,1406.0,2572.0
Johnson,Wrightsville,3113.0,129.0,933.0,169.0,0.0,1231.0,118.0,464.0,281.0,0.0,863.0,2094.0
Johnson,Smith,796.0,224.0,229.0,55.0,0.0,508.0,29.0,20.0,13.0,0.0,62.0,570.0
Johnson,Bray,790.0,142.0,261.0,48.0,0.0,451.0,33.0,58.0,46.0,0.0,137.0,588.0
Johnson,Kite,912.0,258.0,291.0,62.0,0.0,611.0,19.0,12.0,12.0,0.0,43.0,654.0
Jasper,Wyatt,1940.0,444.0,482.0,136.0,1.0,1063.0,79.0,76.0,109.0,1.0,265.0,1328.0
Jasper,Monticello,4516.0,268.0,1531.0,363.0,9.0,2171.0,160.0,524.0,405.0,1.0,1090.0,3261.0
Jasper,Martin-Burney,3976.0,812.0,1425.0,343.0,1.0,2581.0,48.0,128.0,115.0,0.0,291.0,2872.0
